PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),LATITUDE,LONGITUDE
Single Family Residential,2401 Magnolia Cv,Vestavia Hills,AL,35243,575000,4,3.5,2632,23522,2020,0,http://www.redfin.com/AL/Birmingham/2401-Magnolia-Cove-Rd-35243/home/165297356,33.4124369,-86.7696218
Single Family Residential,1155 Arden Pl,Vestavia Hills,AL,35243,1099000,4,4,3462,23522,2020,0,http://www.redfin.com/AL/Mountain-Brook/Unknown-35243/home/167790292,33.4289,-86.7376
Single Family Residential,1154 Arden Pl,Vestavia Hills,AL,35243,1139000,4,4,3743,,2020,0,http://www.redfin.com/AL/Mountain-Brook/Unknown-35243/home/101766858,33.446076,-86.765301
Single Family Residential,1150 Arden Pl,Vestavia Hills,AL,35243,1129000,4,4.5,3444,,2020,0,http://www.redfin.com/AL/Vestavia-Hills/2739-Rocky-Ridge-Rd-35243/home/165221417,33.446095,-86.7657849
Single Family Residential,1151 Arden Pl,Vestavia Hills,AL,35243,999000,4,4,3413,,2020,0,http://www.redfin.com/AL/Mountain-Brook/Unknown-35243/home/167790291,33.4289,-86.7376
Single Family Residential,405 Lakeridge Dr,Trussville,AL,35173,276755,4,2.5,2099,14374,2020,108,http://www.redfin.com/AL/Trussville/405-Lakeridge-Dr-35173/home/172679598,33.639887,-86.520883
Single Family Residential,7615 Barclay Ter,Trussville,AL,35173,499900,5,4,3505,34848,2020,0,http://www.redfin.com/AL/Trussville/7615-Barclay-Ter-35173/home/146114534,33.665184,-86.548203
Single Family Residential,6476 Winslow Crest Cir,Trussville,AL,35173,357000,4,3.5,2773,16117,2020,46,http://www.redfin.com/AL/Trussville/6476-Winslow-Dr-35173/home/172409309,33.692454,-86.5376973
Single Family Residential,385 Lakeridge Dr,Trussville,AL,35173,283260,4,2.5,2234,12196,2020,108,http://www.redfin.com/AL/Trussville/385-Lakeridge-Dr-35173/home/172393078,33.640225,-86.5209
Single Family Residential,8410 Trails End Ln,Trussville,AL,35173,369900,4,3,2500,84942,2020,0,http://www.redfin.com/AL/Trussville/8410-Trails-End-Ln-35173/home/147160324,33.687012,-86.535014
Single Family Residential,3409 Chatham Cir,Trussville,AL,35173,345000,3,2.5,2223,15245,2020,0,http://www.redfin.com/AL/Trussville/3409-Chatham-Dr-35173/home/172346802,33.6041005,-86.5823353
Single Family Residential,6789 Ivy Way,Trussville,AL,35173,392805,4,2.5,2709,32234,2020,0,http://www.redfin.com/AL/Trussville/6789-Ivy-Way-35173/home/147597680,33.6370355,-86.5602614
Single Family Residential,6795 Ivy Way,Trussville,AL,35173,451500,4,3.5,3319,3179,2020,0,http://www.redfin.com/AL/Trussville/6795-Ivy-Way-35173/home/147615252,33.6370355,-86.5602614
Single Family Residential,6807 Ivy Way,Trussville,AL,35173,385900,4,3.5,2762,45302,2020,0,http://www.redfin.com/AL/Trussville/6807-Ivy-Way-35173/home/147598297,33.613107,-86.583776
Single Family Residential,3789 Lake Highland Dr,Trussville,AL,35173,435595,4,3.5,3011,62726,2020,0,http://www.redfin.com/AL/Trussville/3789-Lake-Highland-Dr-35173/home/172314121,33.6399,-86.5801
Single Family Residential,7643 Zander Cir,Trussville,AL,35173,486500,4,3.5,3540,23958,2020,23,http://www.redfin.com/AL/Trussville/7643-Zander-CIR-35173/home/172277464,33.6370355,-86.5602614
Single Family Residential,6051 Enclave Pl,Trussville,AL,35173,421673,5,4,3413,9975,2020,100,http://www.redfin.com/AL/Trussville/6051-Enclave-Pl-35173/home/80620963,33.6382745,-86.5315856
Single Family Residential,137 Cherry Ave,Trussville,AL,35173,399900,3,2,1760,11325,2020,0,http://www.redfin.com/AL/Trussville/137-Cherry-Ave-35173/home/172104270,33.6223232,-86.6058799
Single Family Residential,7863 Raleigh Dr,Trussville,AL,35173,508986,5,4,3301,,2020,54,http://www.redfin.com/AL/Trussville/7863-Raleigh-DR-35173/home/172045816,33.6370355,-86.5602614
Single Family Residential,6389 Winslow Parc Way,Trussville,AL,35173,337650,4,3.5,2645,20908,2020,46,http://www.redfin.com/AL/Trussville/6497-Winslow-Dr-35173/home/165033726,33.6924799,-86.5376969
Single Family Residential,3387 Smith Sims Rd,Trussville,AL,35173,299900,3,2,2005,,2020,0,http://www.redfin.com/AL/Trussville/3387-Smith-Sims-Rd-35173/home/113774180,33.603074,-86.58647
Single Family Residential,6037 Enclave Pl,Trussville,AL,35173,381243,5,4,3413,12980,2020,100,http://www.redfin.com/AL/Trussville/6037-Enclave-Pl-35173/home/171701010,33.6393565,-86.529531
Single Family Residential,6041 Enclave Pl,Trussville,AL,35173,440194,5,4,3827,12980,2020,100,http://www.redfin.com/AL/Trussville/6041-Enclave-Pl-35173/home/171700857,33.6393565,-86.529531
Single Family Residential,6025 Enclave Pl,Trussville,AL,35173,364985,4,3,2867,9975,2020,100,http://www.redfin.com/AL/Trussville/6025-Enclave-Pl-35173/home/171556213,33.6393565,-86.529531
Single Family Residential,6047 Enclave Pl,Trussville,AL,35173,367012,5,3,2867,11979,2020,100,http://www.redfin.com/AL/Trussville/6047-Enclave-Pl-35173/home/80620961,33.638457,-86.531341
Single Family Residential,6063 Enclave Pl,Trussville,AL,35173,381785,4,3,3027,9975,2020,100,http://www.redfin.com/AL/Trussville/6063-Enclave-Pl-35173/home/171447839,33.6372153,-86.5322835
Single Family Residential,2046 Enclave Dr,Trussville,AL,35173,370310,4,3,3027,12501,2020,100,http://www.redfin.com/AL/Trussville/2046-Enclave-Dr-35173/home/169883206,33.6386722,-86.5325291
