PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),LATITUDE,LONGITUDE
Condo/Co-op,62 Cheyenne Ln Unit A,Stratford,CT,6614,224900,1,1.5,1518,0,1971,385,http://www.redfin.com/CT/Stratford/62-Cheyenne-Ln-06614/unit-A/home/107223295,41.247879,-73.109437
Single Family Residential,85 Silvermine Ave,Norwalk,CT,6850,589000,4,3,2284,19166,1985,0,http://www.redfin.com/CT/Norwalk/85-Silvermine-Ave-06850/home/107806554,41.1333912,-73.4355045
Single Family Residential,31 Meridian Rd,Norwalk,CT,6853,1550000,4,3,2652,9583,1960,67,http://www.redfin.com/CT/Norwalk/31-Meridian-Rd-06853/home/107866157,41.0602061,-73.4420763
Single Family Residential,52 Rampart Rd,Norwalk,CT,6854,759000,4,3,4035,6969,2005,0,http://www.redfin.com/CT/Norwalk/52-Rampart-Rd-06854/home/107818636,41.0978888,-73.4382691
Single Family Residential,24 Meeker Ct,Norwalk,CT,6853,639000,3,3,2274,8276,1950,0,http://www.redfin.com/CT/Norwalk/24-Meeker-Ct-06853/home/107863909,41.0805451,-73.4428129
Single Family Residential,3 Branford St,Norwalk,CT,6855,729000,3,3,2472,6534,1927,0,http://www.redfin.com/CT/Norwalk/3-Branford-St-06855/home/107831819,41.1002842,-73.4018286
Condo/Co-op,282 Breakers Ln #282,Stratford,CT,6615,329900,2,1.5,1525,0,1988,395,http://www.redfin.com/CT/Stratford/282-Breakers-Ln-06615/unit-282/home/172531967,41.1696494,-73.112265
Single Family Residential,14 Columbine Ln,Norwalk,CT,6851,749000,4,3,4150,25264,1957,0,http://www.redfin.com/CT/Norwalk/14-Columbine-Ln-06851/home/107828506,41.1578254,-73.3891324
Condo/Co-op,105 Creek Ln Unit B,Stratford,CT,6614,239900,2,1.5,1826,0,1973,463,http://www.redfin.com/CT/Stratford/105-Creek-Ln-06614/unit-B/home/107217001,41.245648,-73.110783
Condo/Co-op,304 South Trl Unit A,Stratford,CT,6614,245000,1,1.5,1675,0,1974,385,http://www.redfin.com/CT/Stratford/304-S-Trl-06614/unit-A/home/107223182,41.24529,-73.10859
Single Family Residential,19 Oakledge Cir,Norwalk,CT,6854,498000,4,3,1188,9147,1987,0,http://www.redfin.com/CT/Norwalk/19-Oakledge-Cir-06854/home/107860188,41.0973562,-73.4353914
Single Family Residential,2 Harbor View Ave,Norwalk,CT,6854,1100000,3,3,2284,9583,1915,146,http://www.redfin.com/CT/Norwalk/2-Harborview-Ave-06854/home/107844003,41.0834558,-73.408122
Single Family Residential,352 Rowayton Ave,Norwalk,CT,6853,799000,4,3,2910,41382,1968,0,http://www.redfin.com/CT/Norwalk/352-Rowayton-Ave-06853/home/107877555,41.0802609,-73.4435272
