SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,777 7th St NW #508,Washington DC,DC,20001,469000,1,1,CENTRAL,793,,2005,35,591,674,Active,,,http://www.redfin.com/DC/Washington/777-7th-St-NW-20001/unit-508/home/10193018,BRIGHT MLS,DCDC475168,N,Y,38.8995021,-77.0217272
MLS Listing,,Condo/Co-op,616 E St NW #403,Washington DC,DC,20004,450000,1,1,CENTRAL,682,,2004,35,660,419,Active,,,http://www.redfin.com/DC/Washington/616-E-St-NW-20004/unit-403/home/10342851,BRIGHT MLS,DCDC475150,N,Y,38.8959928,-77.0202197
MLS Listing,,Condo/Co-op,1340 W St NW Unit B,Washington DC,DC,20009,599000,1,1,OLD CITY II,750,,1895,41,799,250,Active,,,http://www.redfin.com/DC/Washington/1340-W-St-NW-20009/unit-B/home/172274692,BRIGHT MLS,DCDC474006,N,Y,38.918984,-77.031297
MLS Listing,,Condo/Co-op,801 Pennsylvania Ave NW #1125,Washington DC,DC,20004,475000,1,1,CENTRAL,601,,1990,48,790,709,Active,,,http://www.redfin.com/DC/Washington/801-Pennsylvania-Ave-NW-20004/unit-1125/home/9878451,BRIGHT MLS,DCDC473284,N,Y,38.8944313,-77.0234972
MLS Listing,,Condo/Co-op,1855 Calvert St NW #403,Washington DC,DC,20009,550000,2,1.5,MOUNT PLEASANT,925,,1915,49,595,498,Active,,,http://www.redfin.com/DC/Washington/1855-Calvert-St-NW-20009/unit-403/home/10002175,BRIGHT MLS,DCDC473268,N,Y,38.9233771,-77.0448367
MLS Listing,,Condo/Co-op,1845 Kalorama Rd NW #1,Washington DC,DC,20009,494900,1,1,KALORAMA,767,,1921,50,645,205,Active,,,http://www.redfin.com/DC/Washington/1845-Kalorama-Rd-NW-20009/unit-1/home/45474396,BRIGHT MLS,DCDC472962,N,Y,38.9199407,-77.0434198
MLS Listing,,Condo/Co-op,809 6th St NW #51,Washington DC,DC,20001,514900,2,2,CENTRAL,954,,2005,72,540,716,Active,,,http://www.redfin.com/DC/Washington/809-6th-St-NW-20001/unit-51/home/10193494,BRIGHT MLS,DCDC470078,N,Y,38.9002698,-77.0195759
MLS Listing,,Condo/Co-op,3600 Connecticut Ave NW #105,Washington DC,DC,20008,219900,0,1,CLEVELAND PARK,372,,1928,77,591,362,Active,,,http://www.redfin.com/DC/Washington/3600-Connecticut-Ave-NW-20008/unit-105/home/91621996,BRIGHT MLS,DCDC469452,N,Y,38.9370668,-77.0597294
MLS Listing,,Single Family Residential,2508 36th Pl SE,Washington DC,DC,20020,669900,3,2,HILLCREST,2256,4750,1956,87,297,,Active,,,http://www.redfin.com/DC/Washington/2508-36th-Pl-SE-20020/home/10155594,BRIGHT MLS,DCDC467310,N,Y,38.8591588,-76.9544265
MLS Listing,,Single Family Residential,140 Wilmington Pl SE,Washington DC,DC,20032,745000,4,2,CONGRESS HEIGHTS,1933,11250,1951,98,385,,Active,,,http://www.redfin.com/DC/Washington/140-Wilmington-Pl-SE-20032/home/10167429,BRIGHT MLS,DCDC466924,N,Y,38.8363039,-77.0037937
MLS Listing,,Townhouse,2829 Connecticut Ave NW #706,Washington DC,DC,20008,219900,0,1,GARFIELD,535,,1963,120,411,487,Active,,,http://www.redfin.com/DC/Washington/2829-Connecticut-Ave-NW-20008/unit-706/home/9989272,BRIGHT MLS,DCDC464914,N,Y,38.927532,-77.0536371
MLS Listing,,Condo/Co-op,922 24th St NW #103,Washington DC,DC,20037,239000,0,1,FOGGY BOTTOM,413,,1962,133,579,524,Active,,,http://www.redfin.com/DC/Washington/922-24th-St-NW-20037/unit-103/home/9044129,BRIGHT MLS,DCDC463164,N,Y,38.9011382,-77.0512337
MLS Listing,,Condo/Co-op,31 Kennedy St NW #201,Washington DC,DC,20011,335000,2,1,CHILLUM,934,,1954,156,359,343,Active,,,http://www.redfin.com/DC/Washington/31-Kennedy-St-NW-20011/unit-201/home/10345775,BRIGHT MLS,DCDC459658,N,Y,38.9568921,-77.0109467
MLS Listing,,Townhouse,725 Ingraham St NW,Washington DC,DC,20011,674900,3,2,PETWORTH,1488,2750,1923,1,454,,Active,August-9-2020 12:00 PM,August-9-2020 03:00 PM,http://www.redfin.com/DC/Washington/725-Ingraham-St-NW-20011/home/10052178,BRIGHT MLS,DCDC480894,N,Y,38.9544116,-77.023364
MLS Listing,,Condo/Co-op,910 M St NW #808,Washington DC,DC,20001,549900,1,1,OLD CITY II,780,,2006,1,705,534,Active,,,http://www.redfin.com/DC/Washington/910-M-St-NW-20001/unit-808/home/11746867,BRIGHT MLS,DCDC480764,N,Y,38.9074601,-77.02775
MLS Listing,,Townhouse,709 Jefferson St NW,Washington DC,DC,20011,615000,3,2.5,PETWORTH,1360,1781,1915,1,452,,Active,,,http://www.redfin.com/DC/Washington/709-Jefferson-St-NW-20011/home/10052225,BRIGHT MLS,DCDC480416,N,Y,38.9554826,-77.0226704
MLS Listing,,Condo/Co-op,3900 14th St NW Unit P-108,Washington DC,DC,20011,15000,99,99,COLUMBIA HEIGHTS,,,1946,1,,34,Active,,,http://www.redfin.com/DC/Washington/3900-14th-St-NW-20011/unit-P-108/home/172671501,BRIGHT MLS,DCDC481012,N,Y,38.938952,-77.0337394
MLS Listing,,Condo/Co-op,400 Massachusetts Ave NW #1118,Washington DC,DC,20001,599900,2,1,CENTRAL,950,,2004,1,631,582,Active,August-8-2020 11:00 AM,August-8-2020 01:00 PM,http://www.redfin.com/DC/Washington/400-Massachusetts-Ave-NW-20001/unit-1118/home/10343670,BRIGHT MLS,DCDC481000,N,Y,38.9000699,-77.0170276
MLS Listing,,Single Family Residential,3901 17th Pl NE,Washington DC,DC,20018,675000,3,1.5,BROOKLAND,1650,3440,1944,1,409,,Active,,,http://www.redfin.com/DC/Washington/3901-17th-Pl-NE-20018/home/10100128,BRIGHT MLS,DCDC480994,N,Y,38.9372785,-76.9805414
MLS Listing,,Condo/Co-op,1300 N St NW #104,Washington DC,DC,20005,454900,1,1,OLD CITY II,617,,2004,1,737,435,Active,August-9-2020 11:00 AM,August-9-2020 03:30 PM,http://www.redfin.com/DC/Washington/1300-N-St-NW-20005/unit-104/home/10341630,BRIGHT MLS,DCDC480956,N,Y,38.9069429,-77.0301237
MLS Listing,,Condo/Co-op,811 4th St NW #1002,Washington DC,DC,20001,485000,1,1,OLD CITY II,670,,2007,1,724,517,Active,August-9-2020 02:00 PM,August-9-2020 04:00 PM,http://www.redfin.com/DC/Washington/811-4th-St-NW-20001/unit-1002/home/12532015,BRIGHT MLS,DCDC480902,N,Y,38.9010047,-77.0159186
MLS Listing,,Single Family Residential,7401 Blair Rd NW,Washington DC,DC,20012,669900,6,2.5,BRIGHTWOOD,4622,29949,1925,1,145,,Active,,,http://www.redfin.com/DC/Washington/7401-Blair-Rd-NW-20012/home/10054452,BRIGHT MLS,DCDC480480,N,Y,38.9793812,-77.0221647
MLS Listing,,Condo/Co-op,3601 Connecticut Ave NW #601,Washington DC,DC,20008,889000,2,2,CLEVELAND PARK,1778,,1928,1,500,1947,Active,,,http://www.redfin.com/DC/Washington/3601-Connecticut-Ave-NW-20008/unit-601/home/143662747,BRIGHT MLS,DCDC480442,N,Y,38.9379082,-77.05865
MLS Listing,,Condo/Co-op,2409 37th St NW #4,Washington DC,DC,20007,895000,2,2,GLOVER PARK,1182,,2020,1,757,341,Active,August-9-2020 01:00 PM,August-9-2020 04:00 PM,http://www.redfin.com/DC/Washington/2409-37th-St-NW-20007/unit-4/home/172671452,BRIGHT MLS,DCDC479556,N,Y,38.9214248,-77.0728942
MLS Listing,,Condo/Co-op,2409 37th St NW #2,Washington DC,DC,20007,735000,2,2,GLOVER PARK,1177,,2020,1,624,308,Active,August-9-2020 01:00 PM,August-9-2020 04:00 PM,http://www.redfin.com/DC/Washington/2409-37th-St-NW-20007/unit-2/home/172671450,BRIGHT MLS,DCDC479526,N,Y,38.9214248,-77.0728942
MLS Listing,,Condo/Co-op,2501 M St NW #205,Washington DC,DC,20037,1299000,1,2,CENTRAL,1281,,2017,1,1014,730,Active,,,http://www.redfin.com/DC/Washington/2501-M-St-NW-20037/unit-205/home/142909334,BRIGHT MLS,DCDC480748,N,Y,38.905507,-77.0537929
MLS Listing,,Condo/Co-op,1434 Chapin St NW,Washington DC,DC,20009,749900,2,2,MERIDIAN HILL,1000,,2020,1,750,309,Active,August-9-2020 01:00 PM,August-9-2020 04:00 PM,http://www.redfin.com/DC/Washington/1434-Chapin-St-NW-20009/home/10013249,BRIGHT MLS,DCDC480992,N,Y,38.9213072,-77.0337327
MLS Listing,,Condo/Co-op,1415 21st St NW Ph 2B,Washington DC,DC,20036,634500,1,1.5,CENTRAL,889,,1910,1,714,362,Active,August-9-2020 02:00 PM,August-9-2020 04:00 PM,http://www.redfin.com/DC/Washington/1415-21st-St-NW-20036/unit-2B/home/9056402,BRIGHT MLS,DCDC479872,N,Y,38.9092016,-77.0464935
MLS Listing,,Townhouse,3812 13th St NW Unit 1,Washington DC,DC,20011,848000,3,3.5,COLUMBIA HEIGHTS,2100,,1919,1,404,278,Active,,,http://www.redfin.com/DC/Washington/3812-13th-St-NW-20011/unit-1/home/160607078,BRIGHT MLS,DCDC480630,N,Y,38.9381844,-77.0299879
MLS Listing,,Townhouse,419 12th St SE,Washington DC,DC,20003,749000,2,2,OLD CITY I,1035,829,1900,1,724,,Active,August-9-2020 02:00 PM,August-9-2020 04:00 PM,http://www.redfin.com/DC/Washington/419-12th-St-SE-20003/home/9909265,BRIGHT MLS,DCDC480650,N,Y,38.883656,-76.99056
MLS Listing,,Condo/Co-op,2500 Q St NW #420,Washington DC,DC,20007,428000,1,1,GEORGETOWN,734,,1942,1,583,758,Active,,,http://www.redfin.com/DC/Washington/2500-Q-St-NW-20007/unit-420/home/9928798,BRIGHT MLS,DCDC480676,N,Y,38.9104655,-77.0524133
MLS Listing,,Single Family Residential,6729 Eastern Ave,Takoma Park,MD,20912,1099999,6,3,TAKOMA PARK,3443,6300,1925,1,319,,Active,,,http://www.redfin.com/MD/Takoma-Park/6729-Eastern-Ave-20912/home/10973257,BRIGHT MLS,MDMC719164,N,Y,38.971587,-77.009248
MLS Listing,,Single Family Residential,5100 Watson St NW,Washington DC,DC,20016,1897000,4,4.5,KENT,4570,7402,1941,1,415,,Active,,,http://www.redfin.com/DC/Washington/5100-Watson-St-NW-20016/home/9944153,BRIGHT MLS,DCDC480306,N,Y,38.9345992,-77.1048054
MLS Listing,,Townhouse,1515 Allison St NW,Washington DC,DC,20011,925000,4,3.5,16TH ST. HEIGHTS,3410,3670,1920,1,271,,Active,August-8-2020 01:00 PM,August-8-2020 03:00 PM,http://www.redfin.com/DC/Washington/1515-Allison-St-NW-20011/home/10016679,BRIGHT MLS,DCDC479342,N,Y,38.9452332,-77.0352307
MLS Listing,,Condo/Co-op,916 G St NW #602,Washington DC,DC,20001,498750,1,1,CENTRAL,885,,2002,1,564,561,Active,,,http://www.redfin.com/DC/Washington/916-G-St-NW-20001/unit-602/home/10189767,BRIGHT MLS,DCDC480892,N,Y,38.8982228,-77.0242613
MLS Listing,,Condo/Co-op,3883 Connecticut Ave NW #310,Washington DC,DC,20008,750000,2,2,FOREST HILLS,1120,,2002,1,670,885,Active,,,http://www.redfin.com/DC/Washington/3883-Connecticut-Ave-NW-20008/unit-310/home/10194472,BRIGHT MLS,DCDC480778,N,Y,38.9400798,-77.0600326
MLS Listing,,Condo/Co-op,1404 Holbrook St NE #2,Washington DC,DC,20002,425000,2,2,TRINIDAD,767,,1940,1,554,189,Active,,,http://www.redfin.com/DC/Washington/1404-Holbrook-St-NE-20002/unit-2/home/172665664,BRIGHT MLS,DCDC480758,N,Y,38.9036964,-76.9834103
MLS Listing,,Single Family Residential,3641 Fulton St NW,Washington DC,DC,20007,3449000,6,5.5,OBSERVATORY CIRCLE,4710,6337,1926,1,732,,Active,,,http://www.redfin.com/DC/Washington/3641-Fulton-St-NW-20007/home/9974429,BRIGHT MLS,DCDC480694,N,Y,38.9264136,-77.0729279
MLS Listing,,Condo/Co-op,1301 Delaware Ave SW #508,Washington DC,DC,20024,174900,0,1,R.L.A. SW,518,,1962,1,338,673,Active,August-9-2020 01:00 PM,August-9-2020 03:00 PM,http://www.redfin.com/DC/Washington/1301-Delaware-Ave-SW-20024/unit-508/home/172665663,BRIGHT MLS,DCDC480682,N,Y,38.8738327,-77.015449
MLS Listing,,Townhouse,316 Todd Pl NE,Washington DC,DC,20002,780000,3,3.5,ECKINGTON,1939,1656,1927,1,402,,Active,August-8-2020 01:00 PM,August-8-2020 03:00 PM,http://www.redfin.com/DC/Washington/316-Todd-Pl-NE-20002/home/10075335,BRIGHT MLS,DCDC480530,N,Y,38.9164449,-77.0013528
MLS Listing,,Townhouse,30 Wolfe St,Alexandria,VA,22314,1175000,3,2.5,HARBORSIDE,1870,,1993,1,628,383,Active,August-8-2020 01:00 PM,August-8-2020 04:00 PM,http://www.redfin.com/VA/Alexandria/30-Wolfe-St-22314/home/11871380,BRIGHT MLS,VAAX249316,N,Y,38.8005567,-77.0406903
MLS Listing,,Townhouse,4347 Embassy Park Dr NW,Washington DC,DC,20016,889000,2,3,WESLEY HEIGHTS,1832,876,1979,1,485,465,Active,August-8-2020 01:00 PM,August-8-2020 03:00 PM,http://www.redfin.com/DC/Washington/4347-Embassy-Park-Dr-NW-20016/home/9950403,BRIGHT MLS,DCDC480362,N,Y,38.9344535,-77.085327
MLS Listing,,Condo/Co-op,1300 Massachusetts Ave NW #504,Washington DC,DC,20005,499000,1,1,CENTRAL,950,,1890,1,525,877,Active,,,http://www.redfin.com/DC/Washington/1300-Massachusetts-Ave-NW-20005/unit-504/home/145860003,BRIGHT MLS,DCDC480320,N,Y,38.9046822,-77.0300442
MLS Listing,,Townhouse,718 North Carolina Ave SE,Washington DC,DC,20003,2998500,5,5,CAPITOL HILL,4195,2023,1908,1,715,,Active,,,http://www.redfin.com/DC/Washington/718-N-Carolina-Ave-SE-20003/home/9901799,BRIGHT MLS,DCDC480084,N,Y,38.8880148,-76.995481
MLS Listing,,Townhouse,108 17th St SE,Washington DC,DC,20003,989000,4,3.5,OLD CITY I,1632,1542,1921,1,606,,Active,August-8-2020 01:00 PM,August-8-2020 04:00 PM,http://www.redfin.com/DC/Washington/108-17th-St-SE-20003/home/9921347,BRIGHT MLS,DCDC479836,N,Y,38.8883319,-76.9805189
MLS Listing,,Townhouse,649 Morris Pl NE,Washington DC,DC,20002,1249000,4,3.5,OLD CITY I,1582,1520,1925,1,790,,Active,August-9-2020 02:00 PM,August-9-2020 04:00 PM,http://www.redfin.com/DC/Washington/649-Morris-Pl-NE-20002/home/9898629,BRIGHT MLS,DCDC479752,N,Y,38.8979644,-76.9968758
MLS Listing,,Townhouse,1407 K St SE,Washington DC,DC,20003,759900,2,2,OLD CITY I,1088,1339,1941,1,698,,Active,,,http://www.redfin.com/DC/Washington/1407-K-St-SE-20003/home/9918264,BRIGHT MLS,DCDC479554,N,Y,38.87818,-76.985095
MLS Listing,,Townhouse,819 D St NE #18,Washington DC,DC,20002,975000,3,2.5,OLD CITY I,1710,,2016,1,570,602,Active,August-8-2020 01:00 PM,August-8-2020 03:00 PM,http://www.redfin.com/DC/Washington/819-D-St-NE-20002/unit-18/home/113158675,BRIGHT MLS,DCDC477690,N,Y,38.8945667,-76.9941346
MLS Listing,,Townhouse,1312 S Carolina Ave SE,Washington DC,DC,20003,898500,3,2,OLD CITY I,1824,927,1924,1,493,,Active,,,http://www.redfin.com/DC/Washington/1312-S-Carolina-Ave-SE-20003/home/9911760,BRIGHT MLS,DCDC474632,N,Y,38.886397,-76.987765
MLS Listing,,Townhouse,106 G St SW,Washington DC,DC,20024,749000,3,2,R.L.A. SW,1344,,1961,1,557,617,Active,,,http://www.redfin.com/DC/Washington/106-G-St-SW-20024/unit-104/home/9885367,BRIGHT MLS,DCDC472452,N,Y,38.8811514,-77.0127169
