,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
197,Condo/Co-op,1388 Kettner Blvd #702,San Diego,CA,92101,1309900,2,2.0,1632,,2019,995.0,http://www.redfin.com/CA/San-Diego/1388-Kettner-Blvd-92101/unit-702/home/170146343,32.7196802,-117.16934099999999
198,Single Family Residential,605 Lobrico Ct,San Diego,CA,92114,511000,3,2.0,1263,6316.0,2000,,http://www.redfin.com/CA/San-Diego/605-Lobrico-Ct-92114/home/6010408,32.7109563,-117.04313540000001
199,Single Family Residential,1922 Mission Ave,San Diego,CA,92116,1149900,3,2.0,1777,,1927,,http://www.redfin.com/CA/San-Diego/1922-Mission-Ave-92116/home/5297173,32.758571,-117.14453629999998
200,Townhouse,350 Nutmeg St #106,San Diego,CA,92103,707285,3,3.0,1813,,2004,450.0,http://www.redfin.com/CA/San-Diego/350-Nutmeg-St-92103/unit-106/home/6671469,32.7337921,-117.16168049999999
201,Condo/Co-op,2319 CURLEW #9,San Diego,CA,92101,520000,2,1.5,840,,1979,340.0,http://www.redfin.com/CA/San-Diego/2319-Curlew-St-92101/unit-9/home/5749710,32.7294974,-117.1672882
202,Townhouse,1483 Camino Zalce,San Diego,CA,92111,659900,3,2.0,1450,,1980,205.0,http://www.redfin.com/CA/San-Diego/1483-Camino-Zalce-92111/home/5250255,32.772888,-117.171097
203,Condo/Co-op,8889 Caminito Plaza Centro #7319,San Diego,CA,92122,379500,1,1.0,535,275850.0,2006,310.0,http://www.redfin.com/CA/San-Diego/8889-Caminito-Plaza-Centro-92122/unit-7319/home/7543057,32.8691664,-117.2258375
204,Single Family Residential,4917 Magnus Way,San Diego,CA,92113,499000,4,2.0,1345,6900.0,1972,,http://www.redfin.com/CA/San-Diego/4917-Magnus-Way-92113/home/5905423,32.6915584,-117.08926840000001
205,Condo/Co-op,5283 Marigot Pl,San Diego,CA,92124,529000,3,1.5,1250,130147.0,1977,440.0,http://www.redfin.com/CA/San-Diego/5283-Marigot-Pl-92124/home/4987029,32.826913,-117.093273
206,Condo/Co-op,550 Front St #806,San Diego,CA,92101,724900,2,2.0,1045,,2005,1124.0,http://www.redfin.com/CA/San-Diego/550-Front-St-92101/unit-806/home/22805939,32.711071000000004,-117.16515359999998
207,Single Family Residential,2793 Villas Way,San Diego,CA,92108,669500,3,2.5,1435,,2004,252.0,http://www.redfin.com/CA/San-Diego/2793-Villas-Way-92108/unit-A/home/6670153,32.7841092,-117.1340179
208,Condo/Co-op,321 10Th Ave #1001,San Diego,CA,92101,694900,2,2.0,1103,55157.0,2007,677.0,http://www.redfin.com/CA/San-Diego/321-Tenth-Ave-92101/unit-1001/home/12161191,32.7088486,-117.15507679999999
209,Single Family Residential,7281 Canyon Glen Ct,San Diego,CA,92129,1249000,5,2.5,2757,4582.0,2003,75.0,http://www.redfin.com/CA/San-Diego/7281-Canyon-Glen-Ct-92129/home/6507033,32.958351,-117.1618969
210,Single Family Residential,4911 W Mountain View Dr,San Diego,CA,92116,1100000,3,2.5,1496,8925.0,1944,,http://www.redfin.com/CA/San-Diego/4911-W-Mountain-View-Dr-92116/home/5262000,32.7677831,-117.12507350000001
211,Single Family Residential,857 Rosecrans St,San Diego,CA,92106,2460000,3,2.5,2812,6407.0,1939,,http://www.redfin.com/CA/San-Diego/857-Rosecrans-St-92106/home/5743125,32.718073,-117.23541429999999
212,Condo/Co-op,4427 Tremont St #16,San Diego,CA,92102,275000,2,1.5,830,65775.0,1983,294.0,http://www.redfin.com/CA/San-Diego/4427-Tremont-St-92102/unit-16/home/7494260,32.7143711,-117.0992142
