,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
50,Townhouse,11313 Gravitation Dr,Las Vegas,NV,89135,516621,3.0,2.5,2203.0,1742.0,2019.0,265.0,http://www.redfin.com/NV/Las-Vegas/11313-Gravitation-Dr-89135/home/166486241,36.155635600000004,-115.34129009999998
51,Townhouse,11319 Gravitation Dr,Las Vegas,NV,89135,440273,3.0,2.5,2027.0,1742.0,2019.0,265.0,http://www.redfin.com/NV/Las-Vegas/11319-Gravitation-Dr-89135/home/166601044,36.1558674,-115.34129209999999
52,Single Family Residential,10525 Shanna Trellis Ave,Las Vegas,NV,89144,329000,3.0,2.0,1273.0,4356.0,2000.0,50.0,http://www.redfin.com/NV/Las-Vegas/10525-Shanna-Trellis-Ave-89144/home/29109137,36.1922114,-115.32623840000001
53,Condo/Co-op,11299 Glowing Ave #101,Las Vegas,NV,89135,404025,3.0,2.5,1851.0,3485.0,2020.0,285.0,http://www.redfin.com/NV/Las-Vegas/11299-Glowing-Cove-Ave-89129/unit-101/home/113672925,36.157957,-115.34066000000001
54,Townhouse,8721 Prairie Hill Dr,Las Vegas,NV,89134,234500,2.0,1.0,1046.0,2614.0,1990.0,195.0,http://www.redfin.com/NV/Las-Vegas/8721-Prairie-Hill-Dr-89134/home/29159297,36.2023261,-115.28452250000001
55,Single Family Residential,4971 Hayride St,Las Vegas,NV,89149,795000,7.0,4.5,4970.0,20038.0,1996.0,100.0,http://www.redfin.com/NV/Las-Vegas/4971-Hayride-St-89149/home/29098266,36.251141100000005,-115.2724258
56,Single Family Residential,9179 Weeping Hollow Ave,Las Vegas,NV,89178,439000,4.0,2.75,3231.0,4356.0,2006.0,37.0,http://www.redfin.com/NV/Las-Vegas/9179-Weeping-Hollow-Ave-89178/home/29067295,36.014109000000005,-115.2933662
57,Condo/Co-op,4400 Jones Blvd #2020,Las Vegas,NV,89103,169900,2.0,2.0,947.0,,1998.0,221.0,http://www.redfin.com/NV/Las-Vegas/4400-S-Jones-Blvd-89103/unit-2020/home/29449415,36.1083836,-115.2242301
58,Townhouse,3867 Terrazzo Ave,Las Vegas,NV,89115,155000,2.0,2.5,1178.0,871.0,1986.0,150.0,http://www.redfin.com/NV/Las-Vegas/3867-Terrazzo-Ave-89115/home/29363001,36.212981,-115.09024699999999
59,Single Family Residential,5518 Jacobs Field St,Las Vegas,NV,89148,299900,3.0,2.5,1824.0,3485.0,2001.0,,http://www.redfin.com/NV/Las-Vegas/5518-Jacobs-Field-St-89148/home/29869413,36.088626299999994,-115.29832040000001
60,Single Family Residential,2363 Rock Slide Cir,Las Vegas,NV,89115,260000,3.0,2.0,1597.0,4356.0,2010.0,40.0,http://www.redfin.com/NV/Las-Vegas/2363-Rock-Slide-Cir-89115/home/35623830,36.2024347,-115.0910498
61,Single Family Residential,5612 Pepperpike Ave,Las Vegas,NV,89130,270000,4.0,2.0,1585.0,4356.0,1999.0,60.0,http://www.redfin.com/NV/Las-Vegas/5612-Pepperpike-Ave-89130/home/29093173,36.2681161,-115.2198078
62,Single Family Residential,5962 Early Grace St,Las Vegas,NV,89148,389000,3.0,2.5,2480.0,5663.0,2002.0,75.0,http://www.redfin.com/NV/Las-Vegas/5962-Early-Grace-St-89148/home/29912905,36.0800998,-115.3008669
63,Condo/Co-op,1481 Living Desert Dr Unit A,Las Vegas,NV,89119,129950,3.0,2.25,1097.0,,1973.0,265.0,http://www.redfin.com/NV/Las-Vegas/1481-Living-Desert-Dr-89119/unit-A/home/29505624,36.1064709,-115.1330993
64,Single Family Residential,6006 Aripeka St,Henderson,NV,89011,220000,2.0,2.5,1193.0,2178.0,2007.0,130.0,http://www.redfin.com/NV/Henderson/6006-Aripeka-St-89011/home/29063112,36.079825,-115.0232054
65,Single Family Residential,,Las Vegas,NV,89119,379000,3.0,2.5,2294.0,7841.0,1979.0,,http://www.redfin.com/NV/Las-Vegas/Undisclosed-address-89119/home/29491113,36.117437200000005,-115.1256872
66,Townhouse,10713 Mission Lakes Ave,Las Vegas,NV,89134,270000,2.0,1.75,1236.0,3049.0,1998.0,395.0,http://www.redfin.com/NV/Las-Vegas/10713-Mission-Lakes-Ave-89134/home/29108877,36.193428999999995,-115.33229399999999
67,Single Family Residential,9535 Havasu Canyon Ave,Las Vegas,NV,89166,279000,3.0,2.5,1718.0,2178.0,2006.0,35.0,http://www.redfin.com/NV/Las-Vegas/9535-Havasu-Canyon-Ave-89166/home/29020788,36.3121171,-115.3051728
68,Single Family Residential,3200 Ridgecliff St,Las Vegas,NV,89129,385000,3.0,2.0,1630.0,9148.0,1999.0,48.0,http://www.redfin.com/NV/Las-Vegas/3200-Ridgecliff-St-89129/home/29104479,36.218686,-115.32063649999999
69,Condo/Co-op,778 Oakmont Ave #312,Las Vegas,NV,89109,129900,1.0,1.0,708.0,,1972.0,344.0,http://www.redfin.com/NV/Las-Vegas/778-Oakmont-Ave-89109/unit-312/home/29063383,36.139278600000004,-115.1465385
70,Single Family Residential,4741 Blue Moon Ln,Las Vegas,NV,89147,400000,5.0,3.0,2533.0,6098.0,1997.0,18.0,http://www.redfin.com/NV/Las-Vegas/4741-Blue-Moon-Ln-89147/home/29564561,36.1027838,-115.2648895
71,Single Family Residential,10534 Borborema St,Las Vegas,NV,89179,400000,3.0,3.5,2318.0,3920.0,2016.0,63.0,http://www.redfin.com/NV/Las-Vegas/10534-Borborema-St-89179/home/113140460,35.99754229999999,-115.2607683
72,Condo/Co-op,4381 Flamingo Rd #2805,Las Vegas,NV,89103,238888,0.0,1.0,615.0,,2006.0,552.0,http://www.redfin.com/NV/Las-Vegas/4381-W-Flamingo-Rd-89103/unit-2805/home/29789702,36.114414000000004,-115.1990639
73,Townhouse,5902 Sunlight Garden Way,Las Vegas,NV,89118,265000,2.0,2.5,1811.0,1742.0,1994.0,200.0,http://www.redfin.com/NV/Las-Vegas/5902-Sunlight-Garden-Way-89118/home/29576693,36.093381,-115.22228899999999
74,Condo/Co-op,2451 Rainbow Blvd #1096,Las Vegas,NV,89108,155000,2.0,2.0,1237.0,13132.0,1988.0,254.0,http://www.redfin.com/NV/Las-Vegas/2451-N-Rainbow-Blvd-89108/unit-1096/home/29062202,36.2060131,-115.243622
75,Single Family Residential,1249 Plum Canyon St,Las Vegas,NV,89142,202888,3.0,1.5,1278.0,1742.0,2003.0,49.0,http://www.redfin.com/NV/Las-Vegas/1249-Plum-Canyon-St-89142/home/29933466,36.1577901,-115.04203490000002
76,Single Family Residential,4811 Saputo Ave,Las Vegas,NV,89141,308000,3.0,2.0,1301.0,5227.0,2001.0,60.0,http://www.redfin.com/NV/Las-Vegas/4811-Saputo-Ave-89141/home/29849595,35.9898156,-115.20602959999998
77,Single Family Residential,9872 Masterpiece Dr,Las Vegas,NV,89148,520000,4.0,2.5,2513.0,9583.0,2002.0,80.0,http://www.redfin.com/NV/Las-Vegas/9872-Masterpiece-Dr-89148/home/29912995,36.078372200000004,-115.30836740000001
78,Single Family Residential,332 Broken Par Dr,Las Vegas,NV,89148,365000,4.0,3.0,2251.0,3485.0,2004.0,155.0,http://www.redfin.com/NV/Las-Vegas/332-Broken-Par-Dr-89148/home/29011390,36.0420526,-115.29475520000001
79,Single Family Residential,9677 Sound View Ave,Las Vegas,NV,89147,399990,4.0,2.75,2447.0,4356.0,2000.0,,http://www.redfin.com/NV/Las-Vegas/9677-Sound-View-Ave-89147/home/29557583,36.107801,-115.30354799999999
80,Condo/Co-op,2451 Rainbow Blvd #1033,Las Vegas,NV,89108,108000,1.0,1.0,720.0,,1988.0,170.0,http://www.redfin.com/NV/Las-Vegas/2451-N-Rainbow-Blvd-89108/unit-1033/home/29061581,36.204114399999995,-115.24354550000001
81,Condo/Co-op,9103 Alta Dr #1007,Las Vegas,NV,89145,935000,2.0,2.5,2271.0,,2006.0,2452.0,http://www.redfin.com/NV/Las-Vegas/9103-Alta-Dr-89145/unit-1007/home/29792339,36.166369,-115.292157
82,Single Family Residential,620 Bloomingfield Ln,Las Vegas,NV,89145,257000,3.0,1.75,1180.0,7841.0,1973.0,,http://www.redfin.com/NV/Las-Vegas/620-Bloomingfield-Ln-89145/home/29223581,36.1644736,-115.2594254
