,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
927,Single Family Residential,10441 W Glacier Peak Dr,Wasilla,AK,99623.0,258300.0,3.0,2.0,1230.0,44431.0,2020.0,0.0,http://www.redfin.com/AK/Wasilla/10441-W-Glacier-Peak-Dr-99654/home/134384468,61.537693999999995,-149.71312790000002
928,Multi-Family (2-4 Unit),2210 Ridgewood Dr,Wasilla,AK,99654.0,419000.0,6.0,6.0,3524.0,44867.0,2005.0,0.0,http://www.redfin.com/AK/Wasilla/2210-Ridgewood-Dr-99654/home/134347448,61.6022145,-149.5018458
929,Single Family Residential,7848 W Mustafa Cir,Wasilla,AK,99623.0,309000.0,3.0,2.0,1468.0,40075.0,2020.0,0.0,http://www.redfin.com/AK/Wasilla/7848-W-Mustafa-Cir-99623/home/134613541,61.508160399999994,-149.647776
930,Single Family Residential,8559 W O'Brien Creek Dr,Wasilla,AK,99623.0,465000.0,6.0,4.0,3167.0,163350.0,2015.0,0.0,http://www.redfin.com/AK/Wasilla/8559-O-Brien-Creek-Dr-99654/home/134695279,61.490384,-149.66360500000002
931,Single Family Residential,6971 W Leopold Loop,Wasilla,AK,99654.0,249500.0,3.0,3.0,1954.0,21344.0,2005.0,0.0,http://www.redfin.com/AK/Wasilla/6971-W-Leopold-Loop-99623/home/135009011,61.523318599999996,-149.6260842
932,Single Family Residential,L11 B3 W Bluff View Dr,Wasilla,AK,99654.0,539000.0,4.0,3.0,2551.0,40075.0,2020.0,0.0,http://www.redfin.com/AK/Knik-Fairview/L11-B3-W-Bluff-View-Dr-99654/home/172389564,61.528223200000006,-149.48451609999998
933,Multi-Family (2-4 Unit),6630 W Wellington Dr,Wasilla,AK,99623.0,339900.0,4.0,4.0,2973.0,70131.0,1994.0,0.0,http://www.redfin.com/AK/Wasilla/6630-W-Wellington-Dr-99623/home/134315856,61.522065299999994,-149.61801210000002
934,Single Family Residential,2601 N Earl Dr,Wasilla,AK,99654.0,345000.0,3.0,3.0,2282.0,57063.0,1991.0,0.0,http://www.redfin.com/AK/Wasilla/2601-N-Earl-Dr-99654/home/134194896,61.6092265,-149.29375339999999
935,Single Family Residential,12395 W Hazel Ave,Wasilla,AK,99623.0,395000.0,4.0,2.0,2700.0,798890.0,1965.0,0.0,http://www.redfin.com/AK/Wasilla/12395-W-Hazel-Ave-99654/home/134367585,61.487203,-149.760878
936,Single Family Residential,1090 S Century Dr,Wasilla,AK,99654.0,329900.0,3.0,3.0,1920.0,22216.0,2015.0,0.0,http://www.redfin.com/AK/Wasilla/1090-S-Century-Dr-99654/home/134234623,61.5722647,-149.4498635
937,Single Family Residential,2050 N Meadow Lakes Dr,Wasilla,AK,99623.0,319900.0,3.0,2.0,1254.0,51836.0,2016.0,0.0,http://www.redfin.com/AK/Wasilla/2050-N-Meadow-Lakes-Dr-99623/home/140974682,61.6024145,-149.6781275
938,Single Family Residential,350 E Spruce Ave,Wasilla,AK,99654.0,479000.0,4.0,3.0,2422.0,114152.0,2012.0,0.0,http://www.redfin.com/AK/Wasilla/350-E-Spruce-Ave-99654/home/134419296,61.5980228,-149.4418274
939,Single Family Residential,383 N Pine Ridge Loop,Wasilla,AK,99654.0,300000.0,4.0,3.0,2001.0,20037.0,2007.0,0.0,http://www.redfin.com/AK/Wasilla/383-N-Pine-Ridge-Loop-99623/home/135002330,61.5871057,-149.5136328
940,Single Family Residential,4279 E Serendipity Loop,Wasilla,AK,99654.0,389900.0,4.0,3.0,2398.0,43124.0,2003.0,0.0,http://www.redfin.com/AK/Wasilla/4279-E-Serendipity-Loop-99654/home/134514787,61.607253500000006,-149.3870631
941,Single Family Residential,L15 B1 E Dale Cir,Wasilla,AK,99654.0,373980.0,3.0,2.0,1588.0,43560.0,2020.0,0.0,http://www.redfin.com/AK/Fishhook/L15-B1-E-Dale-Cir-99654/home/172214023,61.661889,-149.263018
942,Single Family Residential,6511 W Creeksedge Dr,Wasilla,AK,99654.0,335000.0,3.0,2.0,1718.0,40075.0,2020.0,0.0,http://www.redfin.com/AK/Wasilla/6511-W-CREEKSEDGE-DR-99654/home/172355178,61.561431000000006,-149.615322
943,Single Family Residential,6131 E Eek St,Wasilla,AK,99654.0,230000.0,3.0,2.0,2300.0,41382.0,1985.0,0.0,http://www.redfin.com/AK/Wasilla/6131-E-Eek-St-99654/home/134254391,61.609157200000006,-149.2965747
944,Single Family Residential,3000 N Snow Goose Dr,Wasilla,AK,99654.0,259900.0,3.0,2.0,1412.0,21344.0,2002.0,0.0,http://www.redfin.com/AK/Wasilla/3000-N-Snow-Goose-Dr-99654/home/135055065,61.6142995,-149.42069569999998
945,Single Family Residential,1320 Minnetonka Dr,Wasilla,AK,99654.0,334900.0,3.0,2.0,1676.0,40075.0,2020.0,0.0,http://www.redfin.com/AK/Wasilla/1320-Minnetonka-Dr-99654/home/135551386,61.56101410000001,-149.48160819999998
946,Single Family Residential,3455 S Johnsons Rd,Wasilla,AK,99623.0,165000.0,1.0,1.0,900.0,43560.0,2000.0,0.0,http://www.redfin.com/AK/Wasilla/3455-S-Johnsons-Rd-99654/home/134298444,61.5432828,-149.70689199999998
947,Single Family Residential,5330 E Mikayla Dr,Wasilla,AK,99654.0,372499.0,3.0,3.0,2029.0,40075.0,2020.0,0.0,http://www.redfin.com/AK/Wasilla/5330-E-Mikayla-DR-99654/home/172188013,61.58087629999999,-149.44105980000003
948,Multi-Family (2-4 Unit),8212 W Donna Marie Ln,Wasilla,AK,99623.0,364900.0,6.0,4.0,2608.0,40075.0,2004.0,0.0,http://www.redfin.com/AK/Wasilla/8212-W-Donna-Marie-Ln-99623/home/134613509,61.503594799999995,-149.6493824
949,Single Family Residential,1190 Satisfied Dr,Wasilla,AK,99654.0,544000.0,3.0,2.0,1984.0,195584.0,1998.0,0.0,http://www.redfin.com/AK/Wasilla/1190-Satisfied-Dr-99654/home/172273351,61.592041,-149.677431
950,Single Family Residential,3200 E Woodruff Loop,Wasilla,AK,99654.0,299000.0,3.0,2.0,1518.0,40510.0,2020.0,0.0,http://www.redfin.com/AK/Wasilla/3200-E-Woodruff-Loop-99654/home/134961551,61.6323177,-149.363525
951,Multi-Family (2-4 Unit),523 Meadow Lakes Loop,Wasilla,AK,99654.0,399900.0,7.0,5.0,3016.0,59241.0,2010.0,0.0,http://www.redfin.com/AK/Wasilla/523-Meadow-Lakes-Loop-99654/home/134552219,61.584152,-149.653979
952,Single Family Residential,1446 N Pioneer Peak Dr,Wasilla,AK,99654.0,169999.0,3.0,1.0,1074.0,12632.0,1988.0,0.0,http://www.redfin.com/AK/Wasilla/1446-N-Pioneer-Peak-Dr-99654/home/135072997,61.5984375,-149.39486340000002
