,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
126,Single Family Residential,144-29 76th Rd,Flushing,NY,11367,898000,4.0,2.5,,2000.0,1940.0,,http://www.redfin.com/NY/Flushing/144-29-76th-Rd-11367/home/20823442,40.722547399999996,-73.81835490000002
127,Single Family Residential,161-22 28th Ave,Flushing,NY,11358,1298888,4.0,3.5,1995.0,3192.0,1930.0,,http://www.redfin.com/NY/Flushing/161-22-28th-Ave-11358/home/20856438,40.7717208,-73.802504
128,Single Family Residential,200 Genesse Ave,Staten Island,NY,10308,679999,3.0,4.0,1824.0,3800.0,1975.0,,http://www.redfin.com/NY/Staten-Island/200-Genesee-Ave-10308/home/56098750,40.553197999999995,-74.1628218
129,Condo/Co-op,64-34 102nd St Unit 1R,Rego Park,NY,11374,275000,1.0,1.0,750.0,,1955.0,491.0,http://www.redfin.com/NY/Queens/64-34-102nd-St-11374/unit-1R/home/20659179,40.730641,-73.85341600000001
130,Single Family Residential,102-14 85th Rd,Queens,NY,11418,649000,4.0,2.0,1388.0,2000.0,1915.0,,http://www.redfin.com/NY/Jamaica/102-14-85th-Rd-11418/home/20777818,40.697472,-73.84571
131,Townhouse,91 Tysen St,Staten Island,NY,10301,720000,4.0,2.0,1853.0,2450.0,1920.0,,http://www.redfin.com/NY/Staten-Island/91-Tysen-St-10301/home/56082715,40.6432766,-74.09939940000001
132,Single Family Residential,1843 Madison Pl,Brooklyn,NY,11229,1180000,5.0,4.0,1795.0,3100.0,1925.0,,http://www.redfin.com/NY/Brooklyn/1843-Madison-Pl-11229/home/40900299,40.608961,-73.9390016
133,Single Family Residential,1751 Dekalb Ave,Flushing,NY,11385,965000,3.0,2.0,1152.0,1817.0,1940.0,,http://www.redfin.com/NY/Flushing/17-51-Dekalb-Ave-11385/home/20885311,40.707088,-73.916717
134,Condo/Co-op,460 Neptune Ave Unit 23R,Brooklyn,NY,11224,699000,3.0,1.5,1250.0,,1964.0,,http://www.redfin.com/NY/Brooklyn/460-Neptune-Ave-11224/unit-23R/home/172669379,40.5788395,-73.9714225
135,Condo/Co-op,515 E 85th St Unit 3B,New York,NY,10028,455000,1.0,1.0,500.0,,1962.0,1137.0,http://www.redfin.com/NY/New-York/515-E-85th-St-10028/unit-3B/home/160375863,40.7751023,-73.9468888
136,Condo/Co-op,132-36 Pople Ave Unit 1C,Flushing,NY,11355,498000,1.0,1.0,,,2008.0,215.0,http://www.redfin.com/NY/Flushing/132-36-Pople-Ave-11355/unit-1C/home/28577392,40.753311100000005,-73.8312005
137,Condo/Co-op,112-19 39th Ave Unit 3B,Corona,NY,11368,560000,2.0,2.0,,,2008.0,110.0,http://www.redfin.com/NY/Flushing/138-3-39th-Ave-11354/unit-3B/home/45111850,40.7610641,-73.82744790000001
138,Single Family Residential,153-38 76 Rd,Flushing,NY,11367,848000,4.0,2.5,1300.0,1800.0,1940.0,,http://www.redfin.com/NY/Flushing/153-38-76th-Rd-11367/home/20819728,40.7241111,-73.81151650000001
139,Single Family Residential,235 Blair Ave,BRONX,NY,10465,675000,4.0,2.0,2690.0,4000.0,1935.0,,http://www.redfin.com/NY/The-Bronx/235-Blair-Ave-10465/home/44787680,40.8200397,-73.807926
140,Condo/Co-op,,Yonkers,NY,10704,159999,1.0,1.0,875.0,1.0,1970.0,741.0,http://www.redfin.com/NY/Yonkers/Undisclosed-address-10704/home/50260687,40.9081679,-73.8564181
141,Single Family Residential,82-51 242 St,Bellerose,NY,11426,619888,2.0,2.0,,4000.0,1950.0,,http://www.redfin.com/NY/Jamaica/82-51-242nd-St-11426/home/20805551,40.736289899999996,-73.72515
142,Condo/Co-op,143-20 Hoover Ave #506,Briarwood,NY,11435,529000,2.0,1.0,788.0,10741.0,2009.0,377.0,http://www.redfin.com/NY/Jamaica/14320-Hoover-Ave-11435/unit-506/home/25830650,40.7140261,-73.8143475
143,Condo/Co-op,531 52 St Unit 1A,Brooklyn,NY,11220,649999,2.0,2.0,924.0,,2008.0,,http://www.redfin.com/NY/Brooklyn/531-52nd-St-11220/unit-1A/home/40669862,40.643547600000005,-74.01035590000001
144,Multi-Family (2-4 Unit),3210 Colden Ave,BRONX,NY,10469,859000,9.0,3.0,,2200.0,1920.0,,http://www.redfin.com/NY/The-Bronx/3210-Colden-Ave-10469/home/44743856,40.871765,-73.85912990000001
145,Multi-Family (2-4 Unit),365 85 St,Brooklyn,NY,11209,1339000,6.0,2.75,2640.0,2458.0,1925.0,,http://www.redfin.com/NY/Brooklyn/365-85th-St-11209/home/40818256,40.624061499999996,-74.0286268
146,Townhouse,515 Steuben St,Staten Island,NY,10305,899999,5.0,3.0,2250.0,4160.0,1960.0,,http://www.redfin.com/NY/Staten-Island/515-Steuben-St-10305/home/56026743,40.6025079,-74.076574
147,Multi-Family (2-4 Unit),184 Herkimer St,Brooklyn,NY,11216,2199000,,,,,,,http://www.redfin.com/NY/Brooklyn/184-Herkimer-St-11216/home/40729687,40.6793499,-73.94735229999999
148,Condo/Co-op,Unit at 5700 Arlington Ave,Bronx,NY,10471,430000,2.0,1.0,,,,,http://www.redfin.com/NY/The-Bronx/5700-Arlington-Ave-10471/home/59302619,40.9068884,-73.90598229999999
149,Condo/Co-op,Unit at 170 E 87th St,New York,NY,10128,1950000,2.0,2.0,,,,,http://www.redfin.com/NY/New-York/170-E-87th-St-10128/home/45292556,40.77965510000001,-73.9539686
150,Condo/Co-op,Unit at 21 E 22nd St,New York,NY,10010,1995000,2.0,2.0,,,,,http://www.redfin.com/NY/New-York/21-E-22nd-St-10010/home/45174704,40.7404797,-73.9884715
151,Condo/Co-op,Unit at 339 Sackett St,Brooklyn,NY,11231,1475000,2.0,2.0,,,,,http://www.redfin.com/NY/Brooklyn/339-Sackett-St-11231/home/40647686,40.682626500000005,-73.9939993
152,Single Family Residential,2023 Mayflower Ave,BRONX,NY,10461,649000,3.0,1.5,1280.0,,1950.0,,http://www.redfin.com/NY/The-Bronx/2023-Mayflower-Ave-10461/home/44777040,40.852762,-73.8339574
153,Townhouse,248 Kelly Blvd,Staten Island,NY,10314,988000,3.0,3.0,3016.0,4200.0,1975.0,,http://www.redfin.com/NY/Staten-Island/248-Kelly-Blvd-10314/home/56109328,40.5841904,-74.1572324
154,Single Family Residential,284 Mason Blvd,Staten Island,NY,10309,1500000,5.0,4.0,4000.0,10475.0,1988.0,,http://www.redfin.com/NY/Staten-Island/284-Mason-Blvd-10309/home/56020824,40.5431913,-74.21616709999999
155,Condo/Co-op,Unit at 405 E 63rd St,New York,NY,10065,645000,1.0,1.0,,,,,http://www.redfin.com/NY/New-York/405-E-63rd-St-10065/home/45183265,40.761964299999995,-73.9593562
156,Condo/Co-op,Unit at 251 E 32nd St,New York,NY,10016,775000,1.0,1.0,,,,,http://www.redfin.com/NY/New-York/251-E-32nd-St-10016/home/172668190,40.743724799999995,-73.9770521
157,Single Family Residential,185 Keiber Ct,Staten Island,NY,10314,625000,3.0,1.0,1575.0,4000.0,1935.0,,http://www.redfin.com/NY/Staten-Island/185-Keiber-Ct-10314/home/56028305,40.618539,-74.1302584
158,Single Family Residential,37 Delano Ave,Yonkers,NY,10704,385000,3.0,1.0,945.0,,1936.0,,http://www.redfin.com/NY/Yonkers/37-Delano-Ave-10704/home/172667697,40.906049100000004,-73.8727894
159,Townhouse,130 Leslie Ave,Staten Island,NY,10305,1299000,3.0,4.0,2800.0,5500.0,1997.0,,http://www.redfin.com/NY/Staten-Island/130-Leslie-Ave-10305/home/56043127,40.599078999999996,-74.0857519
160,Condo/Co-op,Unit at 5 -49 Borden Ave,Queens,NY,11101,1395000,2.0,2.0,,,,,http://www.redfin.com/NY/Long-Island-City/5-Borden-Ave-11101/home/172666946,40.7397804,-73.9468822
161,Condo/Co-op,Unit at 306 Gold St,Brooklyn,NY,11201,1450000,2.0,2.0,,,,,http://www.redfin.com/NY/Brooklyn/306-Gold-St-11201/home/40674547,40.6950751,-73.98353859999999
162,Condo/Co-op,Unit at 648 Grand St,Brooklyn,NY,11204,350000,1.0,1.0,,,,,http://www.redfin.com/NY/Brooklyn/648-Grand-St-11206/home/144685409,40.7112984,-73.9463142
163,Condo/Co-op,Unit at 206 E 95th St,New York,NY,10128,899000,1.0,1.0,,,,,http://www.redfin.com/NY/New-York/206-E-95th-St-10128/home/115563636,40.7841014,-73.94938979999999
164,Condo/Co-op,Unit at 2 E 55th St,New York,NY,10022,125000,1.0,1.0,,,,,http://www.redfin.com/NY/New-York/2-E-55th-St-10022/home/172666912,40.7613979,-73.9746128
165,Condo/Co-op,Unit at 123 Third Ave,New York,NY,10003,1095000,1.0,1.0,,,,,http://www.redfin.com/NY/New-York/123-3rd-Ave-10003/home/45331142,40.732956200000004,-73.9869462
166,Condo/Co-op,Unit at 5 Tudor City Pl,New York,NY,10017,339000,0.0,1.0,,,,,http://www.redfin.com/NY/New-York/5-Tudor-City-Pl-10017/home/53325686,40.747833299999996,-73.9711319
167,Single Family Residential,94 Mckinley Ave,Brooklyn,NY,11208,539000,3.0,3.0,,1667.0,1920.0,,http://www.redfin.com/NY/Brooklyn/94-McKinley-Ave-11208/home/21457149,40.679168,-73.87201800000001
