January 2019 Contiguous U.S. City Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1981-2010 base period)","1981-2010 Mean"
USW00014732,"New York (La Guardia), New York",33.2,44,-0.3,33.5
USW00014771,"Syracuse, New York",22.1,38,-1.5,23.6
USW00003812,"Asheville, North Carolina",39.1,36,1.4,37.7
USH00311458,"Cape Hatteras, North Carolina",47.7,80,0.9,46.8
USW00013881,"Charlotte, North Carolina",43.9,59,3.1,40.8
USW00013723,"Greensboro, North Carolina",40.6,63,1.8,38.8
USW00013722,"Raleigh, North Carolina",42.1,51,1.5,40.6
USW00013748,"Wilmington, North Carolina",46.6,48,1.0,45.6
USW00024011,"Bismarck, North Dakota",13.1,43,-0.5,13.6
USW00024012,"Dickinson, North Dakota",18.0,51,1.6,16.4
USW00014914,"Fargo, North Dakota",6.5,31,-3.6,10.1
USW00014916,"Grand Forks, North Dakota",2.2,32,-4.4,6.6
USW00024013,"Minot, North Dakota",12.0,38,-1.4,13.4
USW00094014,"Williston, North Dakota",17.0,109,5.8,11.2
USW00014895,"Akron, Ohio",26.9,40,0.1,26.8
USW00093814,"Cincinnati, Ohio",30.5,44,0.2,30.3
USW00014820,"Cleveland, Ohio",28.0,44,-0.5,28.5
USW00014821,"Columbus, Ohio",29.5,39,0.2,29.3
USW00094830,"Toledo, Ohio",24.9,27,-2.1,27
USW00013967,"Oklahoma City, Oklahoma",37.4,39,-0.3,37.7
USW00013968,"Tulsa, Oklahoma",38.0,49,0.1,37.9
USH00350328,"Astoria, Oregon",45.3,111,1.7,43.6
USW00024221,"Eugene, Oregon",41.7,55,0.5,41.2
USW00024225,"Medford, Oregon",42.3,85,2.5,39.8
USW00024155,"Pendleton, Oregon",36.7,76,2.2,34.5
USW00024229,"Portland, Oregon",43.2,66,1.7,41.5
USW00024232,"Salem, Oregon",42.8,91,0.5,42.3
USH00360106,"Allentown, Pennsylvania",30.4,69,2.0,28.4
USW00014860,"Erie, Pennsylvania",26.9,50,-0.8,27.7
USW00014751,"Harrisburg, Pennsylvania",31.1,40,-0.6,31.7
USW00013739,"Philadelphia, Pennsylvania",33.4,43,0.8,32.6
USW00094823,"Pittsburgh, Pennsylvania",27.6,38,-0.7,28.3
USW00014777,"Scranton, Pennsylvania",26.3,39,-0.0,26.3
USW00014778,"Williamsport, Pennsylvania",27.2,37,0.1,27.1
USW00014765,"Providence, Rhode Island",29.2,34,0.0,29.2
USW00013880,"Charleston, South Carolina",50.9,60,2.5,48.4
USW00013883,"Columbia, South Carolina",48.1,52,2.4,45.7
USH00383747,"Greenville, South Carolina",43.7,83,2.0,41.7
USH00390020,"Aberdeen, South Dakota",10.1,63,-3.0,13.1
USW00024025,"Pierre, South Dakota",20.1,55,0.4,19.7
USW00024090,"Rapid City, South Dakota",26.6,53,1.5,25.1
USW00014944,"Sioux Falls, South Dakota",17.0,55,0.1,16.9
USW00013882,"Chattanooga, Tennessee",42.7,54,1.8,40.9
USW00003811,"Jackson, Tennessee",39.3,48,1.1,38.2
USW00013877,"Johnson City, Tennessee",38.3,62,3.1,35.2
USW00013891,"Knoxville, Tennessee",40.6,73,2.2,38.4
USW00013893,"Memphis, Tennessee",41.9,49,0.7,41.2
USW00013897,"Nashville, Tennessee",40.1,49,1.6,38.5
USW00013962,"Abilene, Texas",45.3,48,0.8,44.5
USW00023047,"Amarillo, Texas",39.7,57,2.1,37.6
USW00013958,"Austin, Texas",51.6,55,0.2,51.4
USW00012919,"Brownsville, Texas",62.8,53,0.2,62.6
USH00412015,"Corpus Christi, Texas",57.7,74,0.5,57.2
USW00013960,"Dallas, Texas",47.6,56,0.4,47.2
USW00022010,"Del Rio, Texas",53.5,36,0.7,52.8
USH00412797,"El Paso, Texas",46.8,82,0.8,46
USW00012918,"Houston, Texas",54.5,52,0.3,54.2
USW00023042,"Lubbock, Texas",42.6,58,2.4,40.2
USW00023023,"Midland, Texas",46.1,58,1.2,44.9
USH00417945,"San Antonio, Texas",52.2,75,0.6,51.6
USW00013966,"Wichita Falls, Texas",42.1,64,0.3,41.8
USW00093129,"Cedar City, Utah",28.9,36,-0.2,29.1
USW00024127,"Salt Lake City, Utah",31.0,43,0.6,30.4
USH00431081,"Burlington, Vermont",17.5,43,-2.1,19.6
USW00094705,"Montpelier, Vermont",13.7,23,-1.6,15.3
USH00446139,"Norfolk, Virginia",42.7,67,1.5,41.2
USW00013740,"Richmond, Virginia",39.2,52,2.1,37.1
USW00013741,"Roanoke, Virginia",36.3,39,-0.8,37.1
USW00024227,"Olympia, Washington",40.6,62,1.2,39.4
USW00024233,"Seattle, Washington",45.0,63,2.1,42.9
USH00457938,"Spokane, Washington",31.0,93,1.3,29.7
USW00024243,"Yakima, Washington",33.9,58,2.2,31.7
USW00003872,"Beckley, West Virginia",31.0,31,-0.7,31.7
USW00013866,"Charleston, West Virginia",35.2,47,0.8,34.4
USW00013729,"Elkins, West Virginia",28.7,40,-1.2,29.9
USW00003860,"Huntington, West Virginia",35.1,40,1.3,33.8
USW00014898,"Green Bay, Wisconsin",16.0,55,-2.1,18.1
USW00014920,"La Crosse, Wisconsin",15.7,33,-2.9,18.6
USW00014837,"Madison, Wisconsin",16.1,28,-2.7,18.8
USW00014839,"Milwaukee, Wisconsin",21.3,39,-1.5,22.8
USW00014897,"Wausau, Wisconsin",12.5,36,-1.8,14.3
USW00024089,"Casper, Wyoming",26.9,57,2.4,24.5
USH00481675,"Cheyenne, Wyoming",31.0,108,2.3,28.7
USW00024021,"Lander, Wyoming",17.9,26,-3.2,21.1
USW00024029,"Sheridan, Wyoming",27.1,60,3.2,23.9
USW00093738,"Washington (Dulles), Washington, D.C.",32.5,33,-0.5,33
USW00013743,"Washington (Reagan National), Washington, D.C.",37.3,45,0.7,36.6
