SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (5+ Unit),1742-1744 Butler Ave,Los Angeles,CA,90025,9675000,32,31,West L.A.,18484,11656,1997,8,523,,Active,,,http://www.redfin.com/CA/Los-Angeles/1742-Butler-Ave-90025/home/28913669,TheMLS,20-610982,N,Y,34.042707,-118.449083
MLS Listing,,Multi-Family (2-4 Unit),1552 Hauser Blvd,Los Angeles,CA,90019,1200000,5,4,C16 - Mid Los Angeles,2275,5807,1925,8,527,,Active,,,http://www.redfin.com/CA/Los-Angeles/1552-Hauser-Blvd-90019/home/6904691,CRMLS,SB20149470,N,Y,34.045635,-118.357592
MLS Listing,,Single Family Residential,11840 N Park Ave,Los Angeles,CA,90066,1550000,3,2,Palms - Mar Vista,1253,10035,1948,8,1237,,Active,,,http://www.redfin.com/CA/Los-Angeles/11840-N-Park-Ave-90066/home/6727299,TheMLS,20-610724,N,Y,34.0053563,-118.4252324
MLS Listing,,Single Family Residential,1820 Rising Glen Rd,Los Angeles,CA,90069,3975000,3,3,Sunset Strip - Hollywood Hills West,2496,52340,1960,8,1593,,Active,,,http://www.redfin.com/CA/Los-Angeles/1820-Rising-Glen-Rd-90069/home/7122217,TheMLS,20-610172,N,Y,34.1048348,-118.3829457
MLS Listing,,Condo/Co-op,645 W 9th St #718,Los Angeles,CA,90015,669000,2,2,Downtown L.A.,1030,74818,2006,8,650,725,Active,,,http://www.redfin.com/CA/Los-Angeles/645-W-9th-St-90015/unit-718/home/21913137,TheMLS,20-603702,N,Y,34.0458143,-118.2605963
MLS Listing,,Condo/Co-op,6250 Hollywood Ph 12A,Los Angeles,CA,90028,3295000,3,4,Hollywood,3270,,2009,8,1008,3760,Active,,,http://www.redfin.com/CA/Los-Angeles/6250-Hollywood-Blvd-90028/unit-12A/home/40155506,TheMLS,20-610476,N,Y,34.1009554,-118.3258303
MLS Listing,,Condo/Co-op,875 Comstock Ave Unit 4B,Los Angeles,CA,90024,975000,2,2,Westwood - Century City,1549,85076,1961,8,629,1693,Active,,,http://www.redfin.com/CA/Los-Angeles/875-Comstock-Ave-90024/unit-4B/home/6824828,TheMLS,20-603066,N,Y,34.0683042,-118.4265792
MLS Listing,,Single Family Residential,2924 Van Pelt Pl,Los Angeles,CA,90026,1299000,2,2,Silver Lake - Echo Park,1141,3558,1926,8,1138,,Active,,,http://www.redfin.com/CA/Los-Angeles/2924-Van-Pelt-Pl-90026/home/7062325,TheMLS,20-610300,N,Y,34.0919822,-118.2667548
MLS Listing,,Single Family Residential,3966 S Cloverdale Ave,Los Angeles,CA,90008,2199999,5,6.5,Park Hills Heights,6640,13495,1992,8,331,,Active,,,http://www.redfin.com/CA/Los-Angeles/3966-S-Cloverdale-Ave-90008/home/6879725,TheMLS,20-610796,N,Y,34.0134208,-118.3618525
MLS Listing,,Multi-Family (2-4 Unit),1826 W 46th St,Los Angeles,CA,90062,750000,4,2,Park Hills Heights,2300,6308,1928,8,326,,Active,,,http://www.redfin.com/CA/Los-Angeles/1826-W-46th-St-90062/home/6869814,TheMLS,20-610966,N,Y,34.0016838,-118.3123952
