state,city,population,location
Nebraska,Roseland village,235,"Roseland village, Nebraska"
Nebraska,Santee village,346,"Santee village, Nebraska"
Nebraska,Benedict village,234,"Benedict village, Nebraska"
Nebraska,Campbell village,347,"Campbell village, Nebraska"
Nebraska,Elwood village,707,"Elwood village, Nebraska"
Nebraska,Union village,233,"Union village, Nebraska"
Nebraska,Talmage village,233,"Talmage village, Nebraska"
Nebraska,Waco village,236,"Waco village, Nebraska"
Nebraska,Newman Grove city,721,"Newman Grove city, Nebraska"
Nebraska,Potter village,337,"Potter village, Nebraska"
Nebraska,Oshkosh city,884,"Oshkosh city, Nebraska"
Nebraska,Boys Town village,745,"Boys Town village, Nebraska"
Nebraska,Papillion city,18894,"Papillion city, Nebraska"
Nebraska,Weston village,324,"Weston village, Nebraska"
Nebraska,Peru city,865,"Peru city, Nebraska"
Nebraska,Panama village,256,"Panama village, Nebraska"
Nebraska,Inglewood village,325,"Inglewood village, Nebraska"
Nebraska,Newcastle village,325,"Newcastle village, Nebraska"
Nebraska,Lindsay village,255,"Lindsay village, Nebraska"
Nebraska,Dix village,255,"Dix village, Nebraska"
Nebraska,Brule village,326,"Brule village, Nebraska"
Nebraska,Butte village,326,"Butte village, Nebraska"
Nebraska,Johnson village,328,"Johnson village, Nebraska"
Nebraska,Cozad city,3977,"Cozad city, Nebraska"
Nebraska,Harrison village,251,"Harrison village, Nebraska"
Nebraska,Brainard village,330,"Brainard village, Nebraska"
Nebraska,Blue Springs city,331,"Blue Springs city, Nebraska"
Nebraska,Humboldt city,877,"Humboldt city, Nebraska"
Nebraska,Petersburg village,333,"Petersburg village, Nebraska"
Nebraska,South Sioux City city,13353,"South Sioux City city, Nebraska"
Nebraska,Pawnee City city,878,"Pawnee City city, Nebraska"
Nebraska,Fairbury city,3942,"Fairbury city, Nebraska"
Nebraska,Crofton city,726,"Crofton city, Nebraska"
Nebraska,Kenesaw village,880,"Kenesaw village, Nebraska"
Nebraska,Osceola city,880,"Osceola city, Nebraska"
Nebraska,Amherst village,248,"Amherst village, Nebraska"
Nebraska,Axtell village,726,"Axtell village, Nebraska"
Nebraska,Platte Center village,336,"Platte Center village, Nebraska"
Nebraska,Oakdale village,322,"Oakdale village, Nebraska"
Nebraska,Manley village,178,"Manley village, Nebraska"
Nebraska,Arapahoe city,1026,"Arapahoe city, Nebraska"
Nebraska,Goehner village,154,"Goehner village, Nebraska"
Nebraska,Rosalie village,160,"Rosalie village, Nebraska"
Nebraska,Palmer village,472,"Palmer village, Nebraska"
Nebraska,Verdigre village,575,"Verdigre village, Nebraska"
Nebraska,Alliance city,8491,"Alliance city, Nebraska"
Nebraska,Hardy village,159,"Hardy village, Nebraska"
Nebraska,Valentine city,2737,"Valentine city, Nebraska"
Nebraska,Anselmo village,145,"Anselmo village, Nebraska"
Nebraska,Bancroft village,495,"Bancroft village, Nebraska"
Nebraska,Haigler village,158,"Haigler village, Nebraska"
Nebraska,Kimball city,2496,"Kimball city, Nebraska"
Nebraska,Wisner city,1170,"Wisner city, Nebraska"
Nebraska,Merriman village,128,"Merriman village, Nebraska"
Nebraska,Stromsburg city,1171,"Stromsburg city, Nebraska"
Nebraska,Ruskin village,123,"Ruskin village, Nebraska"
Nebraska,Grant city,1165,"Grant city, Nebraska"
Nebraska,Wauneta village,577,"Wauneta village, Nebraska"
Nebraska,Creighton city,1154,"Creighton city, Nebraska"
Nebraska,Hordville village,144,"Hordville village, Nebraska"
Nebraska,Plattsmouth city,6502,"Plattsmouth city, Nebraska"
Nebraska,Wood River city,1325,"Wood River city, Nebraska"
Nebraska,Wynot village,166,"Wynot village, Nebraska"
Nebraska,Page village,166,"Page village, Nebraska"
Nebraska,Minden city,2923,"Minden city, Nebraska"
Nebraska,Inman village,129,"Inman village, Nebraska"
Nebraska,Farwell village,122,"Farwell village, Nebraska"
Nebraska,Upland village,143,"Upland village, Nebraska"
Nebraska,Daykin village,166,"Daykin village, Nebraska"
Nebraska,York city,7766,"York city, Nebraska"
Nebraska,Concord village,166,"Concord village, Nebraska"
Nebraska,Sargent city,525,"Sargent city, Nebraska"
Nebraska,Venango village,164,"Venango village, Nebraska"
Nebraska,Spencer village,455,"Spencer village, Nebraska"
Nebraska,David City city,2906,"David City city, Nebraska"
Nebraska,Yutan city,1174,"Yutan city, Nebraska"
Nebraska,Adams village,573,"Adams village, Nebraska"
Nebraska,Dawson village,146,"Dawson village, Nebraska"
Nebraska,North Bend city,1177,"North Bend city, Nebraska"
Nebraska,Stella village,152,"Stella village, Nebraska"
Nebraska,Grand Island city,48520,"Grand Island city, Nebraska"
Nebraska,Oconto village,151,"Oconto village, Nebraska"
Nebraska,Battle Creek city,1207,"Battle Creek city, Nebraska"
Nebraska,Fairmont village,560,"Fairmont village, Nebraska"
Nebraska,Trenton village,560,"Trenton village, Nebraska"
Nebraska,Terrytown city,1198,"Terrytown city, Nebraska"
Nebraska,Greeley Center village,466,"Greeley Center village, Nebraska"
Nebraska,Washington village,150,"Washington village, Nebraska"
Nebraska,Shubert village,150,"Shubert village, Nebraska"
Nebraska,Ithaca village,148,"Ithaca village, Nebraska"
Nebraska,Edgar city,498,"Edgar city, Nebraska"
Nebraska,Howells village,561,"Howells village, Nebraska"
Nebraska,Republican City village,150,"Republican City village, Nebraska"
Nebraska,Sidney city,6757,"Sidney city, Nebraska"
Nebraska,Bayard city,1209,"Bayard city, Nebraska"
Nebraska,Bellevue city,50137,"Bellevue city, Nebraska"
Nebraska,Burwell city,1210,"Burwell city, Nebraska"
Nebraska,Grafton village,126,"Grafton village, Nebraska"
Nebraska,Murray village,463,"Murray village, Nebraska"
Nebraska,Gering city,8500,"Gering city, Nebraska"
Nebraska,Bushnell village,124,"Bushnell village, Nebraska"
Nebraska,Valparaiso village,570,"Valparaiso village, Nebraska"
Nebraska,Nelson city,488,"Nelson city, Nebraska"
Nebraska,Fullerton city,1307,"Fullerton city, Nebraska"
Nebraska,Hay Springs village,570,"Hay Springs village, Nebraska"
Nebraska,Broadwater village,128,"Broadwater village, Nebraska"
Nebraska,Mead village,569,"Mead village, Nebraska"
Nebraska,Blair city,7990,"Blair city, Nebraska"
Nebraska,Davey village,154,"Davey village, Nebraska"
Nebraska,Nebraska City city,7289,"Nebraska City city, Nebraska"
Nebraska,Cody village,154,"Cody village, Nebraska"
Nebraska,Greenwood village,568,"Greenwood village, Nebraska"
Nebraska,Belgrade village,126,"Belgrade village, Nebraska"
Nebraska,Du Bois village,147,"Du Bois village, Nebraska"
Nebraska,Octavia village,127,"Octavia village, Nebraska"
Nebraska,Raymond village,167,"Raymond village, Nebraska"
Nebraska,Central City city,2934,"Central City city, Nebraska"
Nebraska,Brownville village,132,"Brownville village, Nebraska"
Nebraska,Homer village,549,"Homer village, Nebraska"
Nebraska,Schuyler city,6211,"Schuyler city, Nebraska"
Nebraska,Arnold village,597,"Arnold village, Nebraska"
Nebraska,Ravenna city,1360,"Ravenna city, Nebraska"
Nebraska,Culbertson village,595,"Culbertson village, Nebraska"
Nebraska,Cordova village,137,"Cordova village, Nebraska"
Nebraska,Alvo village,132,"Alvo village, Nebraska"
Nebraska,Douglas village,173,"Douglas village, Nebraska"
Nebraska,Memphis village,114,"Memphis village, Nebraska"
Nebraska,Ansley village,441,"Ansley village, Nebraska"
Nebraska,Madison city,2438,"Madison city, Nebraska"
Nebraska,Overton village,594,"Overton village, Nebraska"
Nebraska,Brunswick village,138,"Brunswick village, Nebraska"
Nebraska,Kearney city,30787,"Kearney city, Nebraska"
Nebraska,Miller village,136,"Miller village, Nebraska"
Nebraska,Louisville city,1106,"Louisville city, Nebraska"
Nebraska,Morse Bluff village,135,"Morse Bluff village, Nebraska"
Nebraska,Spalding village,487,"Spalding village, Nebraska"
Nebraska,Edison village,133,"Edison village, Nebraska"
Nebraska,Thurston village,132,"Thurston village, Nebraska"
Nebraska,Brock village,112,"Brock village, Nebraska"
Nebraska,Filley village,132,"Filley village, Nebraska"
Nebraska,Leshara village,112,"Leshara village, Nebraska"
Nebraska,Palmyra village,545,"Palmyra village, Nebraska"
Nebraska,Cortland village,482,"Cortland village, Nebraska"
Nebraska,Alexandria village,177,"Alexandria village, Nebraska"
Nebraska,Melbeta village,112,"Melbeta village, Nebraska"
Nebraska,Salem village,112,"Salem village, Nebraska"
Nebraska,Callaway village,539,"Callaway village, Nebraska"
Nebraska,Decatur village,481,"Decatur village, Nebraska"
Nebraska,Bellwood village,435,"Bellwood village, Nebraska"
Nebraska,Endicott village,132,"Endicott village, Nebraska"
Nebraska,Coleridge village,473,"Coleridge village, Nebraska"
Nebraska,Belden village,115,"Belden village, Nebraska"
Nebraska,Plainview city,1246,"Plainview city, Nebraska"
Nebraska,Mullen village,509,"Mullen village, Nebraska"
Nebraska,Sprague village,142,"Sprague village, Nebraska"
Nebraska,Alma city,1133,"Alma city, Nebraska"
Nebraska,Atlanta village,131,"Atlanta village, Nebraska"
Nebraska,Sterling village,476,"Sterling village, Nebraska"
Nebraska,Sutherland village,1286,"Sutherland village, Nebraska"
Nebraska,Crete city,6960,"Crete city, Nebraska"
Nebraska,Malmo village,120,"Malmo village, Nebraska"
Nebraska,Seward city,6964,"Seward city, Nebraska"
Nebraska,Arlington village,1243,"Arlington village, Nebraska"
Nebraska,Indianola city,584,"Indianola city, Nebraska"
Nebraska,Fordyce village,139,"Fordyce village, Nebraska"
Nebraska,Farnam village,171,"Farnam village, Nebraska"
Nebraska,Mason City village,171,"Mason City village, Nebraska"
Nebraska,Otoe village,171,"Otoe village, Nebraska"
Nebraska,Ohiowa village,115,"Ohiowa village, Nebraska"
Nebraska,Paxton village,523,"Paxton village, Nebraska"
Nebraska,Arthur village,117,"Arthur village, Nebraska"
Nebraska,Atkinson city,1245,"Atkinson city, Nebraska"
Nebraska,Exeter village,591,"Exeter village, Nebraska"
Nebraska,Ashland city,2453,"Ashland city, Nebraska"
Nebraska,Barneston village,116,"Barneston village, Nebraska"
Nebraska,Stuart village,590,"Stuart village, Nebraska"
Nebraska,Ulysses village,171,"Ulysses village, Nebraska"
Nebraska,Firth village,590,"Firth village, Nebraska"
Nebraska,Nemaha village,149,"Nemaha village, Nebraska"
Nebraska,Rulo village,172,"Rulo village, Nebraska"
Nebraska,Dorchester village,586,"Dorchester village, Nebraska"
Nebraska,Bartlett village,117,"Bartlett village, Nebraska"
Nebraska,McCook city,7698,"McCook city, Nebraska"
Nebraska,Oakland city,1244,"Oakland city, Nebraska"
Nebraska,Jansen village,118,"Jansen village, Nebraska"
Nebraska,Verdon village,172,"Verdon village, Nebraska"
Nevada,Reno city,225221,"Reno city, Nevada"
Nevada,Henderson city,257729,"Henderson city, Nevada"
Nevada,Wells city,1292,"Wells city, Nevada"
Nevada,North Las Vegas city,216961,"North Las Vegas city, Nevada"
Nevada,Fernley city,19368,"Fernley city, Nevada"
Nevada,Lovelock city,1894,"Lovelock city, Nevada"
Nevada,Boulder City city,15023,"Boulder City city, Nevada"
Nevada,Elko city,18297,"Elko city, Nevada"
Nevada,West Wendover city,4410,"West Wendover city, Nevada"
Nevada,Carlin city,2368,"Carlin city, Nevada"
Nevada,Carson City,55274,"Carson City, Nevada"
Nevada,Yerington city,3048,"Yerington city, Nevada"
Nevada,Fallon city,8606,"Fallon city, Nevada"
Nevada,Mesquite city,15276,"Mesquite city, Nevada"
Nevada,Las Vegas city,583756,"Las Vegas city, Nevada"
Nevada,Sparks city,90264,"Sparks city, Nevada"
Nevada,Ely city,4255,"Ely city, Nevada"
Nevada,Caliente city,1130,"Caliente city, Nevada"
Nevada,Winnemucca city,7396,"Winnemucca city, Nevada"
New Hampshire,Portsmouth city,20779,"Portsmouth city, New Hampshire"
New Hampshire,Franklin city,8477,"Franklin city, New Hampshire"
New Hampshire,Concord city,42695,"Concord city, New Hampshire"
New Hampshire,Nashua city,86494,"Nashua city, New Hampshire"
New Hampshire,Berlin city,10051,"Berlin city, New Hampshire"
New Hampshire,Keene city,23409,"Keene city, New Hampshire"
New Hampshire,Manchester city,109565,"Manchester city, New Hampshire"
New Hampshire,Claremont city,13355,"Claremont city, New Hampshire"
New Hampshire,Laconia city,15951,"Laconia city, New Hampshire"
New Hampshire,Somersworth city,11766,"Somersworth city, New Hampshire"
New Hampshire,Lebanon city,13151,"Lebanon city, New Hampshire"
New Hampshire,Rochester city,29752,"Rochester city, New Hampshire"
New Hampshire,Dover city,29987,"Dover city, New Hampshire"
New Jersey,Hopatcong borough,15147,"Hopatcong borough, New Jersey"
New Jersey,Haddon Heights borough,7473,"Haddon Heights borough, New Jersey"
New Jersey,North Arlington borough,15392,"North Arlington borough, New Jersey"
New Jersey,Bloomingdale borough,7656,"Bloomingdale borough, New Jersey"
New Jersey,Allentown borough,1828,"Allentown borough, New Jersey"
New Jersey,Neptune City borough,4869,"Neptune City borough, New Jersey"
New Jersey,Harrison town,13620,"Harrison town, New Jersey"
New Jersey,Bernardsville borough,7707,"Bernardsville borough, New Jersey"
New Jersey,Midland Park borough,7128,"Midland Park borough, New Jersey"
New Jersey,Tavistock borough,5,"Tavistock borough, New Jersey"
New Jersey,Demarest borough,4881,"Demarest borough, New Jersey"
New Jersey,Wood-Ridge borough,7626,"Wood-Ridge borough, New Jersey"
New Jersey,Stockton borough,538,"Stockton borough, New Jersey"
New Jersey,Fieldsboro borough,540,"Fieldsboro borough, New Jersey"
New Jersey,Glen Ridge borough,7527,"Glen Ridge borough, New Jersey"
New Jersey,Berlin borough,7588,"Berlin borough, New Jersey"
New Jersey,Shiloh borough,516,"Shiloh borough, New Jersey"
New Jersey,Emerson borough,7401,"Emerson borough, New Jersey"
New Jersey,Roselle Park borough,13297,"Roselle Park borough, New Jersey"
New Jersey,West Long Branch borough,8097,"West Long Branch borough, New Jersey"
New Jersey,Metuchen borough,13574,"Metuchen borough, New Jersey"
New Jersey,Butler borough,7539,"Butler borough, New Jersey"
New Jersey,Lavallette borough,1875,"Lavallette borough, New Jersey"
New Jersey,South Bound Brook borough,4563,"South Bound Brook borough, New Jersey"
New Jersey,Point Pleasant Beach borough,4665,"Point Pleasant Beach borough, New Jersey"
New Jersey,Brielle borough,4774,"Brielle borough, New Jersey"
New Jersey,Collingswood borough,13926,"Collingswood borough, New Jersey"
New Jersey,Caldwell borough,7822,"Caldwell borough, New Jersey"
New Jersey,Fanwood borough,7318,"Fanwood borough, New Jersey"
New Jersey,Mount Ephraim borough,4676,"Mount Ephraim borough, New Jersey"
New Jersey,Montvale borough,7844,"Montvale borough, New Jersey"
New Jersey,Spring Lake Heights borough,4713,"Spring Lake Heights borough, New Jersey"
New Jersey,Deal borough,750,"Deal borough, New Jersey"
New Jersey,Oradell borough,7978,"Oradell borough, New Jersey"
New Jersey,Pine Valley borough,12,"Pine Valley borough, New Jersey"
New Jersey,Allenhurst borough,496,"Allenhurst borough, New Jersey"
New Jersey,Rockleigh borough,531,"Rockleigh borough, New Jersey"
New Jersey,Highland Park borough,13982,"Highland Park borough, New Jersey"
New Jersey,Chester borough,1649,"Chester borough, New Jersey"
New Jersey,Harrington Park borough,4664,"Harrington Park borough, New Jersey"
New Jersey,Middlesex borough,13635,"Middlesex borough, New Jersey"
New Jersey,Englishtown borough,1847,"Englishtown borough, New Jersey"
New Jersey,Tenafly borough,14488,"Tenafly borough, New Jersey"
New Jersey,Sea Girt borough,1828,"Sea Girt borough, New Jersey"
New Jersey,Kenilworth borough,7914,"Kenilworth borough, New Jersey"
New Jersey,Phillipsburg town,14950,"Phillipsburg town, New Jersey"
New Jersey,Alpine borough,1849,"Alpine borough, New Jersey"
New Jersey,Palmyra borough,7398,"Palmyra borough, New Jersey"
New Jersey,Corbin City city,492,"Corbin City city, New Jersey"
New Jersey,Chesilhurst borough,1634,"Chesilhurst borough, New Jersey"
New Jersey,Dunellen borough,7227,"Dunellen borough, New Jersey"
New Jersey,Flemington borough,4581,"Flemington borough, New Jersey"
New Jersey,Keyport borough,7240,"Keyport borough, New Jersey"
New Jersey,Fairview borough,13835,"Fairview borough, New Jersey"
New Jersey,Hammonton town,14791,"Hammonton town, New Jersey"
New Jersey,Buena borough,4603,"Buena borough, New Jersey"
New Jersey,Newton town,7997,"Newton town, New Jersey"
New Jersey,Northvale borough,4640,"Northvale borough, New Jersey"
New Jersey,Ramsey borough,14473,"Ramsey borough, New Jersey"
New Jersey,Rumson borough,7122,"Rumson borough, New Jersey"
New Jersey,Paulsboro borough,6097,"Paulsboro borough, New Jersey"
New Jersey,Clayton borough,8179,"Clayton borough, New Jersey"
New Jersey,Rockaway borough,6438,"Rockaway borough, New Jersey"
New Jersey,Belmar borough,5794,"Belmar borough, New Jersey"
New Jersey,Washington borough,6461,"Washington borough, New Jersey"
New Jersey,Old Tappan borough,5750,"Old Tappan borough, New Jersey"
New Jersey,Pitman borough,9011,"Pitman borough, New Jersey"
New Jersey,Woodcliff Lake borough,5730,"Woodcliff Lake borough, New Jersey"
New Jersey,Franklin Lakes borough,10590,"Franklin Lakes borough, New Jersey"
New Jersey,Little Ferry borough,10626,"Little Ferry borough, New Jersey"
New Jersey,Ventnor City city,10650,"Ventnor City city, New Jersey"
New Jersey,Norwood borough,5711,"Norwood borough, New Jersey"
New Jersey,Chatham borough,8962,"Chatham borough, New Jersey"
New Jersey,Hopewell borough,1922,"Hopewell borough, New Jersey"
New Jersey,Elizabeth city,124969,"Elizabeth city, New Jersey"
New Jersey,Somers Point city,10795,"Somers Point city, New Jersey"
New Jersey,Totowa borough,10804,"Totowa borough, New Jersey"
New Jersey,Westwood borough,10908,"Westwood borough, New Jersey"
New Jersey,Allendale borough,6505,"Allendale borough, New Jersey"
New Jersey,Ridgefield borough,11032,"Ridgefield borough, New Jersey"
New Jersey,Beachwood borough,11045,"Beachwood borough, New Jersey"
New Jersey,Morris Plains borough,5532,"Morris Plains borough, New Jersey"
New Jersey,Leonia borough,8937,"Leonia borough, New Jersey"
New Jersey,East Rutherford borough,8913,"East Rutherford borough, New Jersey"
New Jersey,Wharton borough,6522,"Wharton borough, New Jersey"
New Jersey,Audubon borough,8819,"Audubon borough, New Jersey"
New Jersey,Matawan borough,8810,"Matawan borough, New Jersey"
New Jersey,Hightstown borough,5494,"Hightstown borough, New Jersey"
New Jersey,Pompton Lakes borough,11097,"Pompton Lakes borough, New Jersey"
New Jersey,Lincoln Park borough,10521,"Lincoln Park borough, New Jersey"
New Jersey,Wanaque borough,11116,"Wanaque borough, New Jersey"
New Jersey,Watchung borough,5801,"Watchung borough, New Jersey"
New Jersey,Oceanport borough,5832,"Oceanport borough, New Jersey"
New Jersey,Andover borough,606,"Andover borough, New Jersey"
New Jersey,Paterson city,146199,"Paterson city, New Jersey"
New Jersey,Waldwick borough,9625,"Waldwick borough, New Jersey"
New Jersey,Burlington city,9920,"Burlington city, New Jersey"
New Jersey,Lake Como borough,1759,"Lake Como borough, New Jersey"
New Jersey,Fair Haven borough,6121,"Fair Haven borough, New Jersey"
New Jersey,Carlstadt borough,6127,"Carlstadt borough, New Jersey"
New Jersey,Maywood borough,9555,"Maywood borough, New Jersey"
New Jersey,Keansburg borough,10105,"Keansburg borough, New Jersey"
New Jersey,West Wildwood borough,603,"West Wildwood borough, New Jersey"
New Jersey,North Caldwell borough,6183,"North Caldwell borough, New Jersey"
New Jersey,Woodbury city,10174,"Woodbury city, New Jersey"
New Jersey,Brooklawn borough,1955,"Brooklawn borough, New Jersey"
New Jersey,Millstone borough,418,"Millstone borough, New Jersey"
New Jersey,Little Silver borough,5950,"Little Silver borough, New Jersey"
New Jersey,Brigantine city,9450,"Brigantine city, New Jersey"
New Jersey,Union Beach borough,6245,"Union Beach borough, New Jersey"
New Jersey,Hillsdale borough,10219,"Hillsdale borough, New Jersey"
New Jersey,Pine Hill borough,10233,"Pine Hill borough, New Jersey"
New Jersey,Kinnelon borough,10248,"Kinnelon borough, New Jersey"
New Jersey,Jamesburg borough,5915,"Jamesburg borough, New Jersey"
New Jersey,Manasquan borough,5897,"Manasquan borough, New Jersey"
New Jersey,Estell Manor city,1735,"Estell Manor city, New Jersey"
New Jersey,Prospect Park borough,5865,"Prospect Park borough, New Jersey"
New Jersey,Margate City city,6354,"Margate City city, New Jersey"
New Jersey,Manville borough,10344,"Manville borough, New Jersey"
New Jersey,Bound Brook borough,10402,"Bound Brook borough, New Jersey"
New Jersey,Roseland borough,5819,"Roseland borough, New Jersey"
New Jersey,Newark city,277140,"Newark city, New Jersey"
New Jersey,Guttenberg town,11176,"Guttenberg town, New Jersey"
New Jersey,Laurel Springs borough,1908,"Laurel Springs borough, New Jersey"
New Jersey,Runnemede borough,8468,"Runnemede borough, New Jersey"
New Jersey,North Haledon borough,8417,"North Haledon borough, New Jersey"
New Jersey,Milltown borough,6893,"Milltown borough, New Jersey"
New Jersey,Absecon city,8411,"Absecon city, New Jersey"
New Jersey,Penns Grove borough,5147,"Penns Grove borough, New Jersey"
New Jersey,Closter borough,8373,"Closter borough, New Jersey"
New Jersey,Salem city,5146,"Salem city, New Jersey"
New Jersey,Jersey City city,247597,"Jersey City city, New Jersey"
New Jersey,Eatontown borough,12709,"Eatontown borough, New Jersey"
New Jersey,Ridgefield Park village,12729,"Ridgefield Park village, New Jersey"
New Jersey,Barrington borough,6983,"Barrington borough, New Jersey"
New Jersey,Oakland borough,12754,"Oakland borough, New Jersey"
New Jersey,Boonton town,8347,"Boonton town, New Jersey"
New Jersey,Mount Arlington borough,5050,"Mount Arlington borough, New Jersey"
New Jersey,Island Heights borough,1673,"Island Heights borough, New Jersey"
New Jersey,Franklin borough,5045,"Franklin borough, New Jersey"
New Jersey,Folsom borough,1885,"Folsom borough, New Jersey"
New Jersey,Stratford borough,7040,"Stratford borough, New Jersey"
New Jersey,Haledon borough,8318,"Haledon borough, New Jersey"
New Jersey,Spotswood borough,8257,"Spotswood borough, New Jersey"
New Jersey,Highlands borough,5005,"Highlands borough, New Jersey"
New Jersey,Upper Saddle River borough,8208,"Upper Saddle River borough, New Jersey"
New Jersey,Clementon borough,5000,"Clementon borough, New Jersey"
New Jersey,Bogota borough,8187,"Bogota borough, New Jersey"
New Jersey,Harvey Cedars borough,337,"Harvey Cedars borough, New Jersey"
New Jersey,Linwood city,7092,"Linwood city, New Jersey"
New Jersey,Mendham borough,4981,"Mendham borough, New Jersey"
New Jersey,Somerdale borough,5151,"Somerdale borough, New Jersey"
New Jersey,Barnegat Light borough,574,"Barnegat Light borough, New Jersey"
New Jersey,Hackettstown town,9724,"Hackettstown town, New Jersey"
New Jersey,Princeton,12307,"Princeton, New Jersey"
New Jersey,Glen Gardner borough,1704,"Glen Gardner borough, New Jersey"
New Jersey,Wallington borough,11335,"Wallington borough, New Jersey"
New Jersey,Park Ridge borough,8645,"Park Ridge borough, New Jersey"
New Jersey,River Edge borough,11340,"River Edge borough, New Jersey"
New Jersey,South Amboy city,8631,"South Amboy city, New Jersey"
New Jersey,Avon-by-the-Sea borough,1901,"Avon-by-the-Sea borough, New Jersey"
New Jersey,Gloucester City city,11456,"Gloucester City city, New Jersey"
New Jersey,Edgewater borough,11513,"Edgewater borough, New Jersey"
New Jersey,Northfield city,8624,"Northfield city, New Jersey"
New Jersey,Bellmawr borough,11583,"Bellmawr borough, New Jersey"
New Jersey,Haddonfield borough,11593,"Haddonfield borough, New Jersey"
New Jersey,Glen Rock borough,11601,"Glen Rock borough, New Jersey"
New Jersey,Wildwood city,5325,"Wildwood city, New Jersey"
New Jersey,Florham Park borough,11696,"Florham Park borough, New Jersey"
New Jersey,Mountainside borough,6685,"Mountainside borough, New Jersey"
New Jersey,Ocean City city,11701,"Ocean City city, New Jersey"
New Jersey,Rocky Hill borough,682,"Rocky Hill borough, New Jersey"
New Jersey,Englewood Cliffs borough,5281,"Englewood Cliffs borough, New Jersey"
New Jersey,Cresskill borough,8573,"Cresskill borough, New Jersey"
New Jersey,Woodland Park borough,11819,"Woodland Park borough, New Jersey"
New Jersey,Hasbrouck Heights borough,11842,"Hasbrouck Heights borough, New Jersey"
New Jersey,Freehold borough,12052,"Freehold borough, New Jersey"
New Jersey,Somerville borough,12098,"Somerville borough, New Jersey"
New Jersey,Ocean Gate borough,2011,"Ocean Gate borough, New Jersey"
New Jersey,New Providence borough,12171,"New Providence borough, New Jersey"
New Jersey,Red Bank borough,12206,"Red Bank borough, New Jersey"
New Jersey,Ringwood borough,12228,"Ringwood borough, New Jersey"
New Jersey,Raritan borough,6881,"Raritan borough, New Jersey"
New Jersey,Mantoloking borough,296,"Mantoloking borough, New Jersey"
New Jersey,East Newark borough,2406,"East Newark borough, New Jersey"
New Jersey,Secaucus town,16264,"Secaucus town, New Jersey"
New Jersey,North Plainfield borough,21936,"North Plainfield borough, New Jersey"
New Jersey,Victory Gardens borough,1520,"Victory Gardens borough, New Jersey"
New Jersey,Pemberton borough,1409,"Pemberton borough, New Jersey"
New Jersey,South Toms River borough,3684,"South Toms River borough, New Jersey"
New Jersey,Carteret borough,22844,"Carteret borough, New Jersey"
New Jersey,Lakehurst borough,2654,"Lakehurst borough, New Jersey"
New Jersey,Sea Bright borough,1412,"Sea Bright borough, New Jersey"
New Jersey,Helmetta borough,2178,"Helmetta borough, New Jersey"
New Jersey,High Bridge borough,3648,"High Bridge borough, New Jersey"
New Jersey,Stanhope borough,3610,"Stanhope borough, New Jersey"
New Jersey,Cape May city,3607,"Cape May city, New Jersey"
New Jersey,Kearny town,40684,"Kearny town, New Jersey"
New Jersey,South Plainfield borough,23385,"South Plainfield borough, New Jersey"
New Jersey,Cliffside Park borough,23594,"Cliffside Park borough, New Jersey"
New Jersey,Riverdale borough,3559,"Riverdale borough, New Jersey"
New Jersey,Bay Head borough,968,"Bay Head borough, New Jersey"
New Jersey,Linden city,40499,"Linden city, New Jersey"
New Jersey,Belvidere town,2681,"Belvidere town, New Jersey"
New Jersey,Woodstown borough,3505,"Woodstown borough, New Jersey"
New Jersey,Sayreville borough,42704,"Sayreville borough, New Jersey"
New Jersey,Milford borough,1233,"Milford borough, New Jersey"
New Jersey,Far Hills borough,919,"Far Hills borough, New Jersey"
New Jersey,Shrewsbury borough,3809,"Shrewsbury borough, New Jersey"
New Jersey,Bloomsbury borough,870,"Bloomsbury borough, New Jersey"
New Jersey,Hi-Nella borough,870,"Hi-Nella borough, New Jersey"
New Jersey,Elmwood Park borough,19403,"Elmwood Park borough, New Jersey"
New Jersey,Beverly city,2577,"Beverly city, New Jersey"
New Jersey,Peapack and Gladstone borough,2582,"Peapack and Gladstone borough, New Jersey"
New Jersey,Newfield borough,1553,"Newfield borough, New Jersey"
New Jersey,Swedesboro borough,2584,"Swedesboro borough, New Jersey"
New Jersey,Pennington borough,2585,"Pennington borough, New Jersey"
New Jersey,Roosevelt borough,882,"Roosevelt borough, New Jersey"
New Jersey,Bordentown city,3924,"Bordentown city, New Jersey"
New Jersey,Hampton borough,1401,"Hampton borough, New Jersey"
New Jersey,Lambertville city,3906,"Lambertville city, New Jersey"
New Jersey,Palisades Park borough,19622,"Palisades Park borough, New Jersey"
New Jersey,Camden city,77344,"Camden city, New Jersey"
New Jersey,Longport borough,895,"Longport borough, New Jersey"
New Jersey,Pleasantville city,20249,"Pleasantville city, New Jersey"
New Jersey,Roselle borough,21085,"Roselle borough, New Jersey"
New Jersey,Merchantville borough,3821,"Merchantville borough, New Jersey"
New Jersey,Hackensack city,43010,"Hackensack city, New Jersey"
New Jersey,Summit city,21457,"Summit city, New Jersey"
New Jersey,Stone Harbor borough,866,"Stone Harbor borough, New Jersey"
New Jersey,Lodi borough,24136,"Lodi borough, New Jersey"
New Jersey,Moonachie borough,2708,"Moonachie borough, New Jersey"
New Jersey,Seaside Heights borough,2887,"Seaside Heights borough, New Jersey"
New Jersey,Netcong borough,3232,"Netcong borough, New Jersey"
New Jersey,Union City city,66455,"Union City city, New Jersey"
