state,city,population,location
Alabama,Baileyton town,610,"Baileyton town, Alabama"
Alabama,Waverly town,145,"Waverly town, Alabama"
Alabama,North Johns town,145,"North Johns town, Alabama"
Alabama,Sylvan Springs town,1542,"Sylvan Springs town, Alabama"
Alabama,Attalla city,6048,"Attalla city, Alabama"
Alabama,Brundidge city,2076,"Brundidge city, Alabama"
Alabama,Coosada town,1224,"Coosada town, Alabama"
Alabama,Luverne city,2800,"Luverne city, Alabama"
Alabama,Hueytown city,16105,"Hueytown city, Alabama"
Alabama,Hodges town,288,"Hodges town, Alabama"
Alabama,Sipsey town,437,"Sipsey town, Alabama"
Alabama,Centreville city,2778,"Centreville city, Alabama"
Alabama,Babbie town,603,"Babbie town, Alabama"
Alabama,Franklin town,149,"Franklin town, Alabama"
Alabama,Trinity town,2095,"Trinity town, Alabama"
Alabama,Valley city,9524,"Valley city, Alabama"
Alabama,Gadsden city,36856,"Gadsden city, Alabama"
Alabama,Cordova city,2095,"Cordova city, Alabama"
Alabama,Boaz city,9551,"Boaz city, Alabama"
Alabama,Elkmont town,434,"Elkmont town, Alabama"
Alabama,Mount Vernon town,1574,"Mount Vernon town, Alabama"
Alabama,Rainbow City city,9602,"Rainbow City city, Alabama"
Alabama,Brantley town,809,"Brantley town, Alabama"
Alabama,Russellville city,9830,"Russellville city, Alabama"
Alabama,Northport city,23330,"Northport city, Alabama"
Alabama,Lincoln city,6266,"Lincoln city, Alabama"
Alabama,Ardmore town,1194,"Ardmore town, Alabama"
Alabama,Grove Hill town,1570,"Grove Hill town, Alabama"
Alabama,Hoover city,81619,"Hoover city, Alabama"
Alabama,Linden city,2123,"Linden city, Alabama"
Alabama,Montevallo city,6323,"Montevallo city, Alabama"
Alabama,Clay city,9708,"Clay city, Alabama"
Alabama,Chickasaw city,6106,"Chickasaw city, Alabama"
Alabama,Gulf Shores city,9741,"Gulf Shores city, Alabama"
Alabama,Dodge City town,593,"Dodge City town, Alabama"
Alabama,Fruithurst town,284,"Fruithurst town, Alabama"
Alabama,Level Plains town,2085,"Level Plains town, Alabama"
Alabama,Pickensville town,608,"Pickensville town, Alabama"
Alabama,Center Point city,16921,"Center Point city, Alabama"
Alabama,Helena city,16793,"Helena city, Alabama"
Alabama,Flomaton town,1440,"Flomaton town, Alabama"
Alabama,Carolina town,297,"Carolina town, Alabama"
Alabama,Ashford town,2148,"Ashford town, Alabama"
Alabama,St. Florian town,413,"St. Florian town, Alabama"
Alabama,Abbeville city,2688,"Abbeville city, Alabama"
Alabama,Perdido Beach town,581,"Perdido Beach town, Alabama"
Alabama,Providence town,223,"Providence town, Alabama"
Alabama,Highland Lake town,412,"Highland Lake town, Alabama"
Alabama,Dauphin Island town,1238,"Dauphin Island town, Alabama"
Alabama,Stevenson city,2046,"Stevenson city, Alabama"
Alabama,Five Points town,141,"Five Points town, Alabama"
Alabama,Silas town,452,"Silas town, Alabama"
Alabama,Hackleburg town,1516,"Hackleburg town, Alabama"
Alabama,Adamsville city,4522,"Adamsville city, Alabama"
Alabama,West Blocton town,1240,"West Blocton town, Alabama"
Alabama,Ohatchee town,1170,"Ohatchee town, Alabama"
Alabama,Ranburne town,409,"Ranburne town, Alabama"
Alabama,Headland city,4510,"Headland city, Alabama"
Alabama,Newton town,1511,"Newton town, Alabama"
Alabama,Ozark city,14907,"Ozark city, Alabama"
Alabama,Monroeville city,6519,"Monroeville city, Alabama"
Alabama,Odenville town,3585,"Odenville town, Alabama"
Alabama,Anniston city,23106,"Anniston city, Alabama"
Alabama,Alexander City city,14875,"Alexander City city, Alabama"
Alabama,Dadeville city,3230,"Dadeville city, Alabama"
Alabama,North Courtland town,632,"North Courtland town, Alabama"
Alabama,New Site town,773,"New Site town, Alabama"
Alabama,Parrish town,982,"Parrish town, Alabama"
Alabama,Shiloh town,274,"Shiloh town, Alabama"
Alabama,Wetumpka city,6528,"Wetumpka city, Alabama"
Alabama,Petrey town,58,"Petrey town, Alabama"
Alabama,Thomasville city,4209,"Thomasville city, Alabama"
Alabama,Snead town,835,"Snead town, Alabama"
Alabama,Coaling town,1657,"Coaling town, Alabama"
Alabama,Homewood city,25167,"Homewood city, Alabama"
Alabama,Jacksons' Gap town,828,"Jacksons' Gap town, Alabama"
Alabama,Owens Cross Roads town,1521,"Owens Cross Roads town, Alabama"
Alabama,Harpersville town,1637,"Harpersville town, Alabama"
Alabama,West Point town,586,"West Point town, Alabama"
Alabama,Geneva city,4452,"Geneva city, Alabama"
Alabama,Ragland town,1639,"Ragland town, Alabama"
Alabama,Pleasant Grove city,10110,"Pleasant Grove city, Alabama"
Alabama,Talladega city,15676,"Talladega city, Alabama"
Alabama,Pleasant Groves town,420,"Pleasant Groves town, Alabama"
Alabama,Gaylesville town,144,"Gaylesville town, Alabama"
Alabama,Billingsley town,144,"Billingsley town, Alabama"
Alabama,Chelsea city,10183,"Chelsea city, Alabama"
Alabama,Florence city,39319,"Florence city, Alabama"
Alabama,Atmore city,10194,"Atmore city, Alabama"
